,city,state,area,time,number,score
240,Wilmington   ,North Carolina,270.0,6.582979152999999,3,123.04459442665353
97,Richmond   ,Virginia,269.0,9.925946949,4,108.40275547799526
235,Peoria   ,Illinois,246.0,13.0267326,5,94.42122117406477
138,Santa Rosa   ,California,240.0,2.5735022,1,93.2581289419531
60,Lexington-Fayette   ,Kentucky,185.0,4.302641056000001,2,85.9936943808124
128,Knoxville   ,Tennessee,100.0,7.137240147000001,4,56.044071904758894
59,St. Louis   ,Missouri,30.0,0.5673913,1,52.87356362355221
169,Kansas City   ,Kansas,30.0,0.579606346,1,51.7592676599162
36,Kansas City   ,Missouri,30.0,0.634082928,1,47.312423462692564
127,Overland Park   ,Kansas,30.0,0.737704912,1,40.66666699922963
222,Evansville   ,Indiana,65.0,1.658500615,1,39.19202646783462
230,Independence   ,Missouri,30.0,0.7843355359999999,1,38.24893635827818
193,Olathe   ,Kansas,30.0,0.847032907,1,35.417750304711596
234,Fargo   ,North Dakota,65.0,4.388385636000001,2,29.623649966755107
224,Athens-Clarke County,Georgia,73.0,7.833315298,3,27.9575111774085
232,Springfield   ,Illinois,58.0,5.289509542,2,21.93019959202864
231,Columbia   ,Missouri,60.0,5.472508467000001,2,21.927786996332113
194,Columbia   ,South Carolina,58.0,5.419868596000001,2,21.402732915999277
270,North Charleston   ,South Carolina,50.0,3.2304774380000003,1,15.477588362590506
140,Chattanooga   ,Tennessee,8.0,5.432635664,2,2.9451634509609916
38,Atlanta   ,Georgia,8.0,2.743484487,1,2.9159997214884927
291,Sandy Springs   ,Georgia,8.0,5.555579571,2,2.879987550447417
120,Augusta-Richmond County   ,Georgia,8.0,2.967345651,1,2.6960121741476217
91,Chesapeake   ,Virginia,0.0,0.0,0,1.0
10,Austin   ,Texas,0.0,0.0,0,1.0
84,Lubbock   ,Texas,0.0,0.0,0,1.0
289,Lakeland   ,Florida,0.0,0.0,0,1.0
8,Dallas   ,Texas,0.0,0.0,0,1.0
83,Norfolk   ,Virginia,0.0,0.0,0,1.0
292,Tyler   ,Texas,0.0,0.0,0,1.0
113,Montgomery   ,Alabama,0.0,0.0,0,1.0
116,Shreveport   ,Louisiana,0.0,0.0,0,1.0
