ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
14,Apple Mountain,Freeland,MI,4519 N. River Road,48623,TRUE,40,35,0,40,600ft - 820ft,0,20,1/ 6-3/15,3,6,80,0,12,http://www.onthesnow.com/michigan/apple-mountain/ski-resort.html,52
15,Arapahoe Basin Ski Area,Dillon,CO,PO Box 5808,80435,FALSE,10,76,36,30,10779ft - 13050ft,3,37,10/29-6/ 5,3.5,8,960,23,109,http://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,350
16,Arizona Snowbowl,Flagstaff,AZ,P.O. Box 40,86002,FALSE,37,69,35,42,9200ft - 11500ft,3,21,11/20-4/10,3,7,777,0,40,http://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,240
17,Aspen / Snowmass,Aspen,CO,P.O. Box 1248,81612,FALSE,0,139,89,48,7879ft - 12510ft,0,26,11/21-4/17,4.4,43,5547,26,329,http://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,300
18,Attitash,Bartlett,NH,PO Box 308,3812,FALSE,26,79,40,46,600ft - 2350ft,5,28,12/26-4/ 3,3,11,311,0,68,http://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,120
19,Badger Pass,Yosemite,CA,7082 Glacier Point Rd,95389,FALSE,35,48.5,22,50,7200ft - 7800ft,2,15,12/12-3/29,3.1,5,88,0,10,http://www.onthesnow.com/california/badger-pass/ski-resort.html,300
20,Bear Creek Mountain Resort,Macungie,PA,101 Doe Mountain Lane,18062,TRUE,30,63,0,40,600ft - 1100ft,3,30,1/ 7-3/22,3.2,6,86,0,23,http://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html,30
21,Bear Mountain,Big Bear Lake,CA,P.O. Box 77,92315,FALSE,24,N/A,N/A,52,7139ft - 8804ft,2,14,11/13-3/29,3.2,12,N/A,10,29,http://www.onthesnow.com/california/bear-mountain/ski-resort.html,100
22,Bear Valley,Bear Valley,CA,P.O. Box 5038,95223,FALSE,25,69,25,40,6600ft - 8500ft,3,35,11/28-4/13,3.5,9,1680,0,75,http://www.onthesnow.com/california/bear-valley/ski-resort.html,359
23,Beaver Creek,Vail,CO,PO Box 7,81658,FALSE,19,N/A,N/A,43,8100ft - 11439ft,3,21,11/25-4/10,4.5,25,1832,17,150,http://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,323
24,Beaver Mountain,Logan,UT,P.O. Box 3455,84323,FALSE,35,48,33,40,7231ft - 8600ft,2,25,12/21-3/29,2.8,5,464,0,48,http://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,400
25,Beech Mountain Resort,Banner,NC,PO Box 1118,28604,TRUE,30,77,0,40,4675ft - 5504ft,1,30,11/27-3/22,3,7,95,0,15,http://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,31
26,Belleayre,Highmount,NY,P.O. Box 313,12441,FALSE,22,66,40,58,2025ft - 3429ft,2,10,12/ 4-4/12,3.1,8,171,10,50,http://www.onthesnow.com/new-york/belleayre/ski-resort.html,120
27,Berkshire East,Charlemont,MA,P.O. Box 727,1339,TRUE,37,60,0,44,540ft - 1720ft,2,17,1/ 7-4/ 5,3.1,6,163,2,44,http://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html,120
28,Big Boulder,Blakeslee,PA,P.O.Box 1539,18610,TRUE,100,N/A,N/A,0,1700ft - 2175ft,8,0,12/12-4/19,2.9,8,55,0,16,http://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html,50
29,Big Powderhorn Mountain,Bessemer,MI,N11375 Powderhorn Road,49911,FALSE,30,59,40,42,1200ft - 1800ft,2,24,12/23-4/ 3,3.2,10,253,3,33,http://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html,214
30,Big Sky Resort,Big,MT,P.O. Box 160001,59716,FALSE,15,106,46,25,6800ft - 11166ft,7,42,11/26-4/17,4.2,34,5800,18,306,http://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,400
31,Big Squaw Mountain Ski Resort,Greenville,ME,P.O. Box 430,4441,FALSE,33,25,25,34,1750ft - 3200ft,0,33,12/26-4/ 4,2.8,1,N/A,0,29,http://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html,N/A
32,Bittersweet Ski Area,Otsego,MI,600 River Road,49078,TRUE,30,41,16,40,450ft - 850ft,2,30,12/21-3/22,3,12,100,0,20,http://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html,90
33,Blackjack Ski Resort,Bessemer,MI,N11251 Black Jack Rd,49911,FALSE,20,51,14,40,385ft - 850ft,2,0,12/26-3/27,2.6,6,170,40,26,http://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html,210
34,Black Mountain,Jackson,NH,P.O. Box B,3846,FALSE,33,55,30,34,1250ft - 2350ft,0,8,1/ 2-3/28,2.9,4,143,25,45,http://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html,125
35,Blacktail Mountain Ski Area,Lakeside,MT,Box 1090,59922,FALSE,15,40,15,70,5235ft - 6675ft,0,15,12/21-4/12,3.1,4,1000,0,25,http://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html,250
36,Blandford Ski Area,Blandford,MA,PO Box 158,1008,FALSE,40,N/A,N/A,50,1035ft - 1685ft,2,10,1/ 9-3/16,2.9,5,158,0,29,http://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html,50
37,Blue Hills Ski Area,Canton,MA,4001 Washington St,2021,FALSE,13,40,30,25,326ft - 635ft,1,62,1/ 6-4/ 3,3,4,60,0,16,http://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html,N/A
38,Blue Knob,Claysburg,PA,PO Box 247,16625,TRUE,15,60,0,41,2073ft - 3146ft,1,26,1/ 4-3/22,3,5,100,18,34,http://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html,120
39,Blue Mountain Resort,Palmerton,PA,PO Box 216,18071,TRUE,41,N/A,N/A,13,460ft - 1600ft,6,13,12/22-4/ 5,3.6,14,164,33,39,http://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html,33
40,Bluewood,Dayton,WA,PO Box 88,99328,FALSE,17,39,0,45,4545ft - 5670ft,2,38,12/19-3/15,3,3,355,0,24,http://www.onthesnow.com/washington/bluewood/ski-resort.html,300
41,Bogus Basin,Boise,ID,2600 Bogus Basin Rd.,83702,TRUE,22,54,0,45,5800ft - 7581ft,0,33,11/27-4/10,3.2,7,2600,0,75,http://www.onthesnow.com/idaho/bogus-basin/ski-resort.html,250
42,Bolton Valley,Bolton,VT,4302 Bolton Access Rd,5477,TRUE,34,59,0,38,1446ft - 3150ft,3,23,12/31-4/10,3.1,6,300,6,71,http://www.onthesnow.com/vermont/bolton-valley/ski-resort.html,300
43,Boreal Mountain Resort,Truckee,CA,P.O. Box 39,96161,TRUE,21,59,29,39,7200ft - 7700ft,6,39,11/ 6-4/19,3.4,8,380,0,33,http://www.onthesnow.com/california/boreal/ski-resort.html,400
44,Boston Mills,Peninsula,OH,P.O. Box 175,44264,TRUE,20,43,10,40,631ft - 871ft,2,40,1/ 6-3/22,2.8,8,40,0,7,http://www.onthesnow.com/ohio/boston-mills/ski-resort.html,51
45,Bousquet Ski Area,Pittsfield,MA,Dan Fox Dr.,1201,FALSE,34,45,10,33,1125ft - 1875ft,2,33,1/ 6-3/29,2.3,5,200,0,23,http://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html,83
46,Boyne Highlands,Harbor,MI,600 Highlands Drive,49740,TRUE,35,N/A,N/A,29,745ft - 1290ft,4,35,12/ 4-3/30,3.6,10,435,2,55,http://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html,140
47,Boyne Mountain Resort,Boyne,MI,P.O. Box 19,49713,TRUE,57,N/A,N/A,23,620ft - 1120ft,7,17,12/ 4-4/19,3.3,12,415,3,60,http://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html,140
48,Bradford Ski Area,Bradford,MA,P.O. Box 99,1835,FALSE,10,48,25,80,1300ft - 1547ft,1,10,1/ 6-3/29,2.7,10,48,0,15,http://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html,N/A
49,Brandywine,Peninsula,OH,PO Box 175,44264,TRUE,27,43,10,27,631ft - 871ft,2,46,1/ 6-4/ 5,3,16,85,0,11,http://www.onthesnow.com/ohio/brandywine/ski-resort.html,51
50,Brantling Ski Slopes,Sodus,NY,4015 Fish Farm Road,14551,FALSE,30,30,20,40,600ft - 850ft,0,30,1/ 3-4/ 5,2.9,5,20,0,10,http://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html,110
51,Breckenridge,Breckenridge,CO,P.O. Box 1058,80424,FALSE,11,N/A,N/A,31,9600ft - 12997ft,4,24,11/13-4/24,4.2,34,2908,34,187,http://www.onthesnow.com/colorado/breckenridge/ski-resort.html,300
52,Bretton Woods,Bretton,NH,Route 302,3575,TRUE,25,89,25,29,1600ft - 3100ft,3,30,11/22-4/21,3.7,10,464,16,97,http://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html,200
53,Brian Head Resort,Brian,UT,P.O. Box 190008,84719,FALSE,30,54,0,35,9600ft - 11306ft,3,35,11/20-4/12,3.3,8,650,0,71,http://www.onthesnow.com/utah/brian-head-resort/ski-resort.html,400
54,Bridger Bowl,Bozeman,MT,15795 Bridger Canyon Rd.,59715,FALSE,12,54,0,28,6100ft - 8700ft,2,18,12/11-4/ 3,3.2,8,2000,42,105,http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,350
55,Brighton Resort,Brighton,UT,12601 Big Cottonwood Canyon Rd,84121,TRUE,21,75,0,39,8754ft - 10500ft,1,25,11/18-4/17,3.5,6,1050,15,66,http://www.onthesnow.com/utah/brighton-resort/ski-resort.html,500
56,Bristol Mountain,Canandaigua,NY,5662 Route 64,14424,TRUE,35,72,0,45,1000ft - 2200ft,3,20,12/22-4/ 5,3.4,6,160,0,34,http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,60
57,Bromley Mountain,Manchester,VT,PO Box 1130,5255,FALSE,30,73,41,36,1950ft - 3283ft,3,32,11/28-4/10,2.7,8,178,2,47,http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,145
58,Bruce Mound,Neilsville,WI,517 Court St.,54754,TRUE,17,23,9,17,1000ft - 1375ft,2,50,3/13-3/13,3.2,5,40,16,12,http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html,42
59,Brundage Mountain Resort,McCall,ID,P.O. Box 1062,83638,FALSE,20,62,18,50,5839ft - 7639ft,2,10,12/11-4/10,3,5,1500,20,46,http://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html,320
60,Bryce Resort,Basye,VA,P.O. Box 3,22810,TRUE,38,63,0,50,1250ft - 1750ft,0,13,1/ 7-3/28,2.9,7,25,0,8,http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,30
61,Buck Hill,Burnsville,MN,15400 Buck Hill Road,55306,TRUE,34,44,26,34,918ft - 1225ft,0,16,12/19-3/15,3,8,45,16,16,http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,60
62,Buena Vista Ski Area,Bemidji,MN,621 Lake Julia Drive NW,56601,TRUE,20,N/A,N/A,55,1280ft - 1510ft,0,25,11/28-3/15,2.9,6,30,0,17,http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,78
63,Buffalo Ski Club Ski Area,Orchard,NY,P.O. Box 608,14033,TRUE,20,45,30,46,2025ft - 3429ft,1,0,1/12-3/29,3.1,7,225,34,43,http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,N/A
64,Caberfae Peaks,Cadillac,MI,Caberfae Road,49601,TRUE,35,47,5,33,1060ft - 1568ft,2,32,12/ 4-4/ 3,3.1,5,200,0,34,http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,140
65,Camden Snow Bowl,Camden,ME,PO Box 1207,4843,TRUE,9,39,0,30,150ft - 1080ft,2,61,1/ 2-4/ 4,2.7,3,100,0,23,http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html,69
66,Camelback Mountain Resort,Tannersville,PA,PO Box 168,18372,TRUE,32,65,0,32,1250ft - 2100ft,5,32,12/22-4/ 5,3,16,160,3,35,http://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html,50
67,Campgaw Mountain,Mahwah,NJ,200 Campgaw Rd.,7430,TRUE,31,45,0,31,450ft - 726ft,1,23,1/ 7-3/29,3,5,23,15,13,http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,45
68,Canaan Valley Resort,Davis,WV,HC 70 Box 330,26260,TRUE,19,59,0,36,3429ft - 4279ft,1,43,1/ 6-3/20,3.6,5,91,2,47,http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,180
69,Cannon Mountain,Franconia,NH,Franconia Notch State Park,3580,FALSE,15,75,39,52,1900ft - 4079ft,3,33,12/ 4-4/10,3.2,10,282,0,95,http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,160
70,Cannonsburg,Cannonsburg,MI,P.O. Box 19,49317,FALSE,35,37,0,50,850ft - 1100ft,5,15,1/ 6-3/22,3,10,100,0,21,http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html,100
71,Cascade Mountain,Portage,WI,W10441 Cascade Mtn. Rd.,53901,TRUE,36,55,0,36,820ft - 1280ft,4,28,12/18-3/20,3.2,11,160,0,36,http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,56
72,Cataloochee Ski Area,Maggie,NC,1080 Ski Lodge Road,28751,TRUE,44,65,0,39,4660ft - 5400ft,2,0,11/22-3/27,2.9,5,50,17,18,http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,50
73,Catamount,Hillsdale,MA,P.O. Box 639 ,12529,TRUE,33,65,16,42,1000ft - 2000ft,3,19,1/ 7-4/ 5,3.4,7,132,6,36,http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,108
74,Chestnut Mountain Resort,Galena,IL,P.O. Box 6328,61036,TRUE,30,N/A,N/A,40,565ft - 1040ft,0,20,12/19-3/15,3.1,9,139,10,22,http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,50
75,Christie Mountain,Bruce,WI,W13755  CTH O,54819,TRUE,37,N/A,N/A,23,1300ft - 1650ft,4,30,12/ 5-3/16,3.1,6,45,10,30,http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,48
76,Christmas Mountain,Wisconsin,WI,S-944 Christmas Mountain Road,53965,TRUE,40,N/A,N/A,40,1000ft - 1250ft,0,20,12/19-3/22,3,5,40,0,15,http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,20
77,Coffee Mill Ski & Snowboard Resort,Wabasha,MN,Box 127,55981,TRUE,35,35,0,29,725ft - 1150ft,1,7,4/30-4/30,3,3,40,29,14,http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html,48
78,Cooper Spur,Mount,OR,10755 Cooper Spur Road,97041,FALSE,40,32,10,60,3500ft - 4000ft,0,0,12/18-3/29,2.1,2,50,0,10,http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,100
79,Copper Mountain Resort,Copper,CO,P.O. Box 3001,80443,FALSE,21,78,54,25,9702ft - 12312ft,6,36,11/11-4/17,4,23,2465,18,142,http://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,305
80,Cranmore Mountain Resort,North,NH,P.O. Box 1640,3860,FALSE,28,N/A,N/A,44,600ft - 2000ft,4,28,11/27-4/ 5,3.1,7,200,0,57,http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,150
81,Crested Butte Mountain Resort,Crested Butte,CO,12 Snowmass Rd,81225,FALSE,14,108,59,41,9100ft - 12162ft,1,15,11/25-4/ 3,4.2,15,1547,30,124,http://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,300
82,Crotched Mountain,Bennington,NH,"615 Francestown Road, Route 47",3442,TRUE,28,64,46,40,1050ft - 2066ft,3,32,1/ 1-4/ 5,3.1,5,100,0,25,http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,105
83,Crystal Mountain,Thompsonville,MI,12500 Crystal Mountain Drive,49683,TRUE,22,72,29,48,757ft - 1132ft,5,30,12/ 5-4/10,3.7,9,103,0,58,http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,132
84,Crystal Mountain,Crystal Mountain,WA,33914 Crystal Mtn Blvd.,98022,FALSE,11,72,0,54,4400ft - 7012ft,1,32,11/21-4/17,3.1,11,2600,3,57,http://www.onthesnow.com/washington/crystal-mountain/ski-resort.html,486
85,Dartmouth Skiway,Hanover,NH,DCAD Dartmouth College,3755,FALSE,21,47,25,50,973ft - 1942ft,1,25,1/12-3/27,3.1,4,107,4,28,http://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html,100
86,Deer Valley Resort,Park,UT,P.O. Box 1525,84060,FALSE,27,120,23,41,6570ft - 9570ft,0,27,12/ 5-4/10,4.3,21,2026,5,101,http://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,300
87,Devils Head,Merrimac,WI,S-6330 Bluff Road,53561,TRUE,30,54,0,40,495ft - 995ft,1,30,12/17-3/20,3.2,12,260,0,27,http://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,45
88,Diamond Peak,Incline,NV,1210 Ski Way,89451,FALSE,10,64,22,42,6700ft - 8539ft,3,48,12/ 3-4/10,2.8,7,655,0,31,http://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,300
89,Discovery Ski Area,Anaconda,MT,PO Box 221,59711,FALSE,20,42,0,25,5770ft - 8150ft,1,25,11/26-4/ 5,3.1,8,2000,30,67,http://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,200
90,Dodge Ridge,Pinecrest,CA,1 Dodge Ridge Rd,95364,FALSE,20,68,15,40,6600ft - 8200ft,5,40,12/11-4/10,3.1,12,862,0,67,http://www.onthesnow.com/california/dodge-ridge/ski-resort.html,300
91,Donner Ski Ranch,Norden,CA,P.O. Box 66,95724,FALSE,25,59,20,50,7031ft - 8012ft,1,25,12/ 5-4/12,2.9,8,505,0,52,http://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,396
92,Dry Hill Ski Area,Watertown,NY,P.O. Box 202,13601,TRUE,33,35,12,34,650ft - 950ft,1,33,1/ 6-3/29,2.9,3,35,0,7,http://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,125
93,Eaglecrest Ski Area,Juneau,AK,155 South Seward St.,99801,FALSE,20,46,21,40,1200ft - 2600ft,1,30,12/19-4/12,3.2,4,640,10,36,http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,350
94,Eagle Point,Beaver,UT,150 S West Village Circle,84713,FALSE,20,N/A,N/A,35,9100ft - 10600ft,1,45,12/21-3/22,3.3,5,600,0,40,http://www.onthesnow.com/utah/eagle-point/ski-resort.html,400
95,Eagle Rock,Hazelton,PA,1060 Valley of Lakes,18202,FALSE,50,42,0,7,1260ft - 1810ft,1,43,1/ 5-3/22,3,3,N/A,0,14,http://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html,N/A
96,Eldora Mountain Resort,Nederland,CO,P.O.  Box 1697,80466,FALSE,15,69,12,52,9200ft - 10800ft,3,19,11/20-4/12,3,11,680,15,54,http://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html,311
97,Elk Mountain Ski Resort,Union,PA,344 Elk Mountain Road,18470,TRUE,22,70,0,37,1692ft - 2692ft,2,41,1/ 3-3/28,3.3,7,180,0,27,http://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html,60
98,Elko SnoBowl,Elko,NV,491 5th Street,89801,FALSE,8,N/A,N/A,90,6300ft - 7000ft,0,1,12/18-3/13,2.6,2,60,1,10,http://www.onthesnow.com/nevada/elko-snobowl/ski-resort.html,24
99,Elm Creek Winter Recreation Area,Maple,MN,12400 James Deane Parkway,55369,TRUE,20,17,7,60,867ft - 927ft,0,0,12/15-3/20,3.2,3,15,20,3,http://www.onthesnow.com/minnesota/elm-creek/ski-resort.html,45
100,Enchanted Forest Ski Area,Red River,NM,29 Sangre De Cristo,87558,FALSE,30,18,9,50,9820ft - 10077ft,0,2,11/28-3/22,2.8,0,600,18,33,http://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html,240
101,Four Lakes,Lisle,IL,6005 Forest View Rd.,60532,TRUE,40,28,28,30,400ft - 500ft,1,30,1/ 6-3/15,2.5,7,9,0,7,http://www.onthesnow.com/illinois/four-lakes/ski-resort.html,24
102,Giants Ridge Resort,Biwabik,MN,P.O. Box 190,55708,TRUE,31,N/A,N/A,44,1472ft - 1972ft,3,25,12/ 5-4/ 5,2.7,7,202,0,35,http://www.onthesnow.com/minnesota/giants-ridge-resort/ski-resort.html,85
103,Gore Mountain,North,NY,P.O. Box 470,12853,TRUE,10,83,40,51,997ft - 3600ft,6,34,11/27-4/19,3.3,15,438,4,109,http://www.onthesnow.com/new-york/gore-mountain/ski-resort.html,150
104,Grand Geneva,Lake,WI,PO Box 130,53147,TRUE,40,53,0,30,875ft - 1086ft,1,20,1/ 2-3/22,2.5,5,30,10,18,http://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html,25
105,Grand Targhee Resort,Alta,WY,3300 E. Ski Hill Road,83414,FALSE,10,75,0,70,7850ft - 9920ft,1,15,11/20-4/27,3.8,5,2000,5,95,http://www.onthesnow.com/wyoming/grand-targhee-resort/ski-resort.html,500
106,Granite Gorge,Keene,NH,P.O. Box 545,3431,TRUE,35,47,0,35,800ft - 1325ft,0,15,12/30-3/21,2.9,4,55,15,19,http://www.onthesnow.com/new-hampshire/granite-gorge/ski-resort.html,100
107,Granite Peak Ski Area,Wausau,WI,P.O. Box 5010,54402,TRUE,30,N/A,N/A,35,1242ft - 1942ft,4,30,12/19-4/12,3.3,7,220,5,75,http://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html,75
108,Great Divide,Marysville,MT,P.O. Box SKI,59640,TRUE,9,40,20,45,5750ft - 7329ft,6,45,11/22-4/10,2.9,6,1600,0,110,http://www.onthesnow.com/montana/great-divide/ski-resort.html,180
109,Greek Peak,Cortland,NY,2000 NYS Route 392,13045,TRUE,41,64,0,28,1147ft - 2100ft,3,31,1/ 3-4/12,3,8,220,0,33,http://www.onthesnow.com/new-york/greek-peak/ski-resort.html,122
110,Gunstock,Laconia,NH,PO Box 1307,3247,TRUE,12,82,46,61,900ft - 2300ft,2,0,12/26-4/ 3,3.1,7,227,27,54,http://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html,120
111,Heavenly Mountain Resort,South Lake Tahoe,CA,4080 Lake Tahoe Blvd,96150,FALSE,20,N/A,N/A,45,6564ft - 10066ft,3,30,11/14-4/17,3.8,28,4800,5,97,http://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort.html,360
112,Hickory Ski Center,Burnt,NY,P.O. Box 127,12027,FALSE,30,N/A,N/A,30,700ft - 1900ft,0,40,2/ 9-3/29,2.4,3,225,0,19,http://www.onthesnow.com/new-york/hickory-ski-center/ski-resort.html,75
113,Hidden Valley Ski Area,Eureka,MO,17409 Hidden Valley Drive,63025,TRUE,30,47,5,35,2316ft - 2566ft,0,35,1/10-3/ 8,2.8,7,30,0,13,http://www.onthesnow.com/missouri/hidden-valley-ski-area/ski-resort.html,26
114,Hilltop Ski Area,Anchorage,AK,7015 Abbott Road,99507,TRUE,80,30,18,10,1796ft - 2090ft,1,0,11/20-3/22,3.4,3,30,10,13,http://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html,69
115,Hogadon,Casper,WY,1800 East K St.,82601,FALSE,10,42,27,30,7400ft - 8000ft,1,60,12/ 6-4/ 3,3,2,92,0,27,http://www.onthesnow.com/wyoming/hogadon/ski-resort.html,N/A
116,Holiday Mountain,Monticello,NY,99 Holiday Mountain Road,12701,TRUE,30,42,27,27,1150ft - 1550ft,0,31,1/ 9-3/22,3,4,37,12,9,http://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html,50
117,Holiday Valley,Ellicotville,NY,P.O. Box 370,14731,TRUE,34,69,0,28,1500ft - 2250ft,5,37,12/20-4/12,3.2,13,290,1,58,http://www.onthesnow.com/new-york/holiday-valley/ski-resort.html,180
118,Holimont Ski Area,Ellicottville,NY,P.O. Box 279,14731,FALSE,26,70,0,28,1560ft - 2260ft,3,45,12/29-4/10,2.9,8,135,0,53,http://www.onthesnow.com/new-york/holimont-ski-area/ski-resort.html,180
119,Homewood Mountain Resort,Homewood,CA,PO Box 165,96141,FALSE,15,N/A,N/A,50,6229ft - 7879ft,2,25,12/11-4/10,2.9,8,1260,10,64,http://www.onthesnow.com/california/homewood-mountain-resort/ski-resort.html,450
120,Hoodoo Ski Area,Sisters,OR,"Highway 20, PO Box 20",97759,TRUE,30,48,0,30,4668ft - 5702ft,0,40,12/18-4/14,2.9,5,806,0,34,http://www.onthesnow.com/oregon/hoodoo-ski-area/ski-resort.html,350
121,Howelsen Hill,Steamboat,CO,P.O. Box 775088,80477,TRUE,20,25,8,30,6695ft - 7135ft,1,50,12/ 4-3/15,3.1,4,50,0,17,http://www.onthesnow.com/colorado/howelsen-hill/ski-resort.html,150
122,Hunter Mountain,Hunter,NY,P.O. Box 295,12442,FALSE,28,N/A,N/A,24,1600ft - 3200ft,2,33,12/26-4/12,2.9,11,240,16,58,http://www.onthesnow.com/new-york/hunter-mountain/ski-resort.html,120
123,Hunt Hollow Ski Club,Naples,NY,7532 Co Rd 36,14512,TRUE,32,55,0,21,1000ft - 2030ft,1,37,1/12-4/ 5,0,4,400,11,19,http://www.onthesnow.com/new-york/hunt-hollow-ski-club/ski-resort.html,130
124,Hyland Ski & Snowboard Area,Bloomington,MN,8800 Chalet Road,55438,TRUE,40,N/A,N/A,40,900ft - 1075ft,1,20,12/11-3/20,2.6,8,35,0,14,http://www.onthesnow.com/minnesota/hyland-ski-snowboard-area/ski-resort.html,55
125,Indianhead Mountain,Wakefield,MI,500 Indianhead Road,49968,FALSE,20,62,20,30,1297ft - 1935ft,2,50,12/18-4/10,3.5,9,240,0,30,http://www.onthesnow.com/michigan/indianhead-mountain/ski-resort.html,204
126,Jack Frost,Blakeslee,PA,PO Box 1539,18610,FALSE,100,55,10,0,1400ft - 2000ft,1,0,12/29-3/29,3,9,100,0,20,http://www.onthesnow.com/pennsylvania/jack-frost/ski-resort.html,50
127,Jackson Hole,Teton Village,WY,3395 Cody Ln,83025,FALSE,9,88,0,34,6310ft - 10450ft,7,41,11/26-4/ 3,4.2,13,2500,17,133,http://www.onthesnow.com/wyoming/jackson-hole/ski-resort.html,450
128,Jay Peak,Jay,VT,4850 VT Rte 242,5859,FALSE,20,79,16,40,1815ft - 3968ft,3,40,11/27-5/ 8,3.7,9,385,0,78,http://www.onthesnow.com/vermont/jay-peak/ski-resort.html,377
129,Jiminy Peak,Hancock,MA,37 Corey Rd.,1237,TRUE,53,71,53,27,1230ft - 2380ft,0,13,12/19-4/13,3.5,9,167,7,45,http://www.onthesnow.com/massachusetts/jiminy-peak/ski-resort.html,90
130,June Mountain,June Lake,CA,P.O. Box 146,93529,FALSE,35,N/A,N/A,45,7545ft - 10089ft,0,20,12/12-3/21,3.1,7,1500,0,35,http://www.onthesnow.com/california/june-mountain/ski-resort.html,250
