ID,wthr,dscr,temp,pres,humd,spd,rain,snow
286,Rain,light rain,37.42,751.28,81,4.05,0.33,0
287,Clouds,scattered clouds,52.81,781.6,25,20.94,0,0
288,Clouds,overcast clouds,28.06,756.22,74,4.38,0,0
289,Clouds,few clouds,32.34,982.95,53,4.16,0,0
290,Clouds,overcast clouds,38.73,1000.54,88,14.9,0,0
291,Clouds,broken clouds,33.28,831.45,83,5.73,0,0
292,Rain,light rain,40.08,876.19,81,3.71,0.26,0
293,Clouds,broken clouds,43.14,746.58,62,8.19,0,0
294,Rain,light rain,33.28,708.08,77,4.38,0.105,0
295,Clear,clear sky,63.27,999,34,6.93,0,0
296,Clouds,overcast clouds,52.41,855.28,62,10.98,0,0
297,Clouds,scattered clouds,38.19,991.54,67,11.1,0,0
298,Clear,clear sky,35.13,927.75,66,2.15,0,0
299,Rain,moderate rain,39.54,948.26,100,2.59,4.275,0
300,Clear,clear sky,30.58,1020.57,65,0.69,0,0
301,Clouds,scattered clouds,35.04,948.99,75,2.15,0,0
302,Rain,light rain,43,933.42,88,2.37,1.07,0
303,Clouds,broken clouds,38.32,1003.05,88,11.32,0,0
304,Clear,clear sky,28.94,1023,69,8.05,0,0
305,Clear,clear sky,27.79,982.54,61,2.71,0,0
306,Clouds,few clouds,37.06,984.33,67,16.46,0,0
307,Clear,clear sky,48.67,977.52,75,16.35,0,0
308,Clear,clear sky,33.06,985.62,74,2.71,0,0
309,Clear,clear sky,31.12,1010.92,69,2.04,0,0
310,Clouds,broken clouds,49.26,988.3,67,17.81,0,0
311,Clouds,overcast clouds,38.68,735.07,59,4.72,0,0
312,Clouds,scattered clouds,45.34,1000.05,65,16.69,0,0
313,Rain,light rain,48.94,788.16,63,7.07,0.385,0
314,Clouds,scattered clouds,69.06,1034.02,92,14.79,0,0
315,Clouds,scattered clouds,48.18,982.71,72,16.69,0,0
316,Clear,clear sky,27.61,1008.89,63,2.93,0,0
317,Clouds,overcast clouds,28.96,978.9,84,5.95,0,0
318,Clear,clear sky,47.41,964.95,66,11.54,0,0
319,Clear,clear sky,21.49,980.76,71,3.04,0,0
320,Rain,light rain,38.46,853.66,96,5.5,1.33,0
321,Clouds,scattered clouds,44.94,927.1,74,7.4,0,0
322,Rain,light rain,33.82,773.17,97,7.29,0.495,0
323,Clear,clear sky,39.88,1026,77,2.37,0,0
324,Clouds,scattered clouds,32.02,1012.86,95,3.6,0,0
325,Clear,clear sky,49.3,1005,70,3.36,0,0
326,Rain,moderate rain,44.76,988.14,100,4.61,3.145,0
327,Clear,clear sky,25.68,994.38,61,2.26,0,0
328,Clouds,broken clouds,44.89,997.14,68,20.27,0,0
329,Clear,clear sky,27.79,1012.86,63,1.7,0,0
330,Clouds,few clouds,42.01,1013.1,73,3.38,0,0
331,Clouds,few clouds,41.47,712.05,38,5.17,0,0
332,Clear,clear sky,40.68,1025,68,2.15,0,0
333,Clouds,scattered clouds,34.09,959.6,74,2.59,0,0
334,Rain,light rain,37.74,772.19,100,2.93,2.69,0
335,Clear,clear sky,41.83,929.86,69,1.7,0,0
336,Clouds,overcast clouds,78.8,1012,94,4.7,0,0
337,Clear,clear sky,26.71,1005.48,69,2.26,0,0
338,Clear,clear sky,86.83,1002.81,38,9.53,0,0
