ID,lat,lon
1,48.276287,-117.7155208
2,44.7443293,-92.8513706
3,47.5287132,-121.8253906
4,41.051204,-75.2204589
5,41.5222735,-81.3378874
6,43.7844397,-88.7878678
7,46.7668793,-88.82708029999999
8,40.5888394,-111.6379793
9,60.95432469999999,-149.1598983
10,45.7779073,-95.69627489999999
11,33.0402343,-106.0135627
12,40.2968979,-111.6946475
13,36.05421520000001,-81.5963978
14,43.5250265,-84.1227598
15,39.6302643,-106.0433518
16,35.1982836,-111.651302
17,39.1910983,-106.8175387
18,44.0738899,-71.2342866
19,37.74557009999999,-119.5936038
20,40.51593039999999,-75.55518579999999
21,34.2438963,-116.9114215
22,38.4646337,-120.0399088
23,39.6402638,-106.3741955
24,41.7369803,-111.8338359
25,35.3907897,-78.54337009999999
26,42.1442557,-74.4898745
27,42.627862,-72.86981829999999
28,41.092586,-75.5926886
29,46.4813363,-90.0529504
30,41.279898,-119.0604585
31,45.45948629999999,-69.59058150000001
32,42.4605904,-85.696406
33,46.4813363,-90.0529504
34,44.1462613,-71.1850996
35,48.019969,-114.2279084
36,42.1806463,-72.9273224
37,42.1584324,-71.1447732
38,40.2967427,-78.449737
39,40.8014826,-75.6101867
40,46.3237525,-117.9724367
41,43.6187102,-116.2146068
42,44.3726476,-72.87876250000001
43,39.327962,-120.1832533
44,41.2411668,-81.55261759999999
45,42.4500845,-73.2453824
46,42.1342065,-83.42015529999999
47,45.2048594,-84.99682279999999
48,42.7695348,-71.0758905
49,41.2411668,-81.55261759999999
50,43.2378428,-77.0613618
51,39.4816537,-106.0383518
52,42.8349302,-71.3670454
53,39.5667169,-111.3838579
54,45.6769979,-111.0429339
55,40.60384,-111.5821429
56,42.887535,-77.2816984
57,43.16368749999999,-73.0723268
58,44.559962,-90.5962498
59,44.911006,-116.0987364
60,38.81435,-78.7646228
61,44.7677424,-93.27772259999999
62,47.4875361,-94.8858492
63,43.370174,-78.270484
64,44.2519526,-85.40116189999999
65,44.2097928,-69.0647838
66,41.0398099,-75.3057288
67,41.0886216,-74.1435843
68,39.1287189,-79.4647739
69,44.2271729,-71.7479075
70,43.0539179,-85.4697477
71,43.5391486,-89.46262019999999
72,34.8802869,-79.7410311
73,42.4386967,-73.1253799
74,42.4166744,-90.4290168
75,45.4569087,-91.2732106
76,43.7844397,-88.7878678
77,44.3710051,-92.0382346
78,10.6554875,-61.42976
79,35.8551568,-115.6850424
80,43.1938516,-71.5723953
81,38.8697146,-106.9878231
82,42.9968843,-71.9164217
83,44.5202794,-85.9439718
84,46.9281666,-121.5045349
85,43.7022451,-72.2895526
86,40.6460622,-111.4979729
87,43.3733198,-89.6234552
88,41.0589263,-75.3536517
89,46.1262998,-112.9478359
90,38.1923581,-119.9946131
91,39.3174625,-120.3296682
92,43.9747838,-75.91075649999999
93,58.3019444,-134.4197222
94,38.2769149,-112.6410518
95,40.9584181,-75.97464719999999
96,39.9613759,-105.5108312
97,40.9894888,-77.0564464
98,40.8324211,-115.7631232
99,47.4579657,-91.15182539999999
100,36.7080849,-105.4061159
101,41.801141,-88.0747875
102,47.5329811,-92.3401787
103,40.7127837,-74.0059413
104,45.9405323,-90.5824521
