ID,name,city,state,addr,zip,night,park,beginner,intermediate,advanced,expert,total_runs,area,max_price,min_price,elev,dates,rating,lifts,avg_snowfall,lat,lon,link
108,Great Divide,Marysville,MT,P.O. Box SKI,59640,1,6,9,45,45,0,110,1600,40,20,5750ft - 7329ft,11/22-4/10,2.9,6,180,46.7505198,-112.3012261,http://www.onthesnow.com/montana/great-divide/ski-resort.html
109,Greek Peak,Cortland,NY,2000 NYS Route 392,13045,1,3,41,28,31,0,33,220,64,0,1147ft - 2100ft,1/ 3-4/12,3,8,122,42.6011813,-76.1804843,http://www.onthesnow.com/new-york/greek-peak/ski-resort.html
110,Gunstock,Laconia,NH,PO Box 1307,03247,1,2,12,61,0,27,54,227,82,46,900ft - 2300ft,12/26-4/ 3,3.1,7,120,43.5278546,-71.4703509,http://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html
111,Heavenly Mountain Resort,South Lake Tahoe,CA,4080 Lake Tahoe Blvd,96150,0,3,20,45,30,5,97,4800,N/A,N/A,6564ft - 10066ft,11/14-4/17,3.8,28,360,38.939926,-119.9771868,http://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort.html
112,Hickory Ski Center,Burnt,NY,P.O. Box 127,12027,0,0,30,30,40,0,19,225,N/A,N/A,700ft - 1900ft,2/ 9-3/29,2.4,3,75,42.5071729,-74.4829429,http://www.onthesnow.com/new-york/hickory-ski-center/ski-resort.html
113,Hidden Valley Ski Area,Eureka,MO,17409 Hidden Valley Drive,63025,1,0,30,35,35,0,13,30,47,5,2316ft - 2566ft,1/10-3/ 8,2.8,7,26,38.5025537,-90.6279044,http://www.onthesnow.com/missouri/hidden-valley-ski-area/ski-resort.html
114,Hilltop Ski Area,Anchorage,AK,7015 Abbott Road,99507,1,1,80,10,0,10,13,30,30,18,1796ft - 2090ft,11/20-3/22,3.4,3,690,61.2180556,-149.9002778,http://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html
115,Hogadon,Casper,WY,1800 East K St.,82601,0,1,10,30,60,0,27,92,42,27,7400ft - 8000ft,12/ 6-4/ 3,3,2,N/A,42.866632,-106.313081,http://www.onthesnow.com/wyoming/hogadon/ski-resort.html
116,Holiday Mountain,Monticello,NY,99 Holiday Mountain Road,12701,1,0,30,27,31,12,9,37,42,27,1150ft - 1550ft,1/ 9-3/22,3,4,50,41.6556465,-74.6893282,http://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html
117,Holiday Valley,Ellicotville,NY,P.O. Box 370,14731,1,5,34,28,37,1,58,290,69,0,1500ft - 2250ft,12/20-4/12,3.2,13,180,42.2750639,-78.6728071,http://www.onthesnow.com/new-york/holiday-valley/ski-resort.html
118,Holimont Ski Area,Ellicottville,NY,P.O. Box 279,14731,0,3,26,28,45,0,53,135,70,0,1560ft - 2260ft,12/29-4/10,2.9,8,180,42.2750639,-78.6728071,http://www.onthesnow.com/new-york/holimont-ski-area/ski-resort.html
119,Homewood Mountain Resort,Homewood,CA,PO Box 165,96141,0,2,15,50,25,10,64,1260,N/A,N/A,6229ft - 7879ft,12/11-4/10,2.9,8,450,39.0862733,-120.1607425,http://www.onthesnow.com/california/homewood-mountain-resort/ski-resort.html
120,Hoodoo Ski Area,Sisters,OR,"Highway 20, PO Box 20",97759,1,0,30,30,40,0,34,806,48,0,4668ft - 5702ft,12/18-4/14,2.9,5,350,44.2909491,-121.5492118,http://www.onthesnow.com/oregon/hoodoo-ski-area/ski-resort.html
121,Howelsen Hill,Steamboat Springs,CO,P.O. Box 775088,80477,1,1,20,30,50,0,17,50,25,8,6695ft - 7135ft,12/ 4-3/15,3.1,4,150,40.4849769,-106.8317158,http://www.onthesnow.com/colorado/howelsen-hill/ski-resort.html
122,Hunter Mountain,Hunter,NY,P.O. Box 295,12442,0,2,28,24,33,16,58,240,N/A,N/A,1600ft - 3200ft,12/26-4/12,2.9,11,120,42.2136987,-74.2187541,http://www.onthesnow.com/new-york/hunter-mountain/ski-resort.html
123,Hunt Hollow Ski Club,Naples,NY,7532 Co Rd 36,14512,1,1,32,21,37,11,19,400,55,0,1000ft - 2030ft,1/12-4/ 5,0,4,130,42.6153453,-77.4024853,http://www.onthesnow.com/new-york/hunt-hollow-ski-club/ski-resort.html
124,Hyland Ski & Snowboard Area,Bloomington,MN,8800 Chalet Road,55438,1,1,40,40,20,0,14,35,N/A,N/A,900ft - 1075ft,12/11-3/20,2.6,8,55,44.840798,-93.2982799,http://www.onthesnow.com/minnesota/hyland-ski-snowboard-area/ski-resort.html
125,Indianhead Mountain,Wakefield,MI,500 Indianhead Road,49968,0,2,20,30,50,0,30,240,62,20,1297ft - 1935ft,12/18-4/10,3.5,9,204,46.4752254,-89.9398909,http://www.onthesnow.com/michigan/indianhead-mountain/ski-resort.html
126,Jack Frost,Blakeslee,PA,PO Box 1539,18610,0,1,100,0,0,0,20,100,55,10,1400ft - 2000ft,12/29-3/29,3,9,50,41.092586,-75.5926886,http://www.onthesnow.com/pennsylvania/jack-frost/ski-resort.html
127,Jackson Hole,Teton Village,WY,3395 Cody Ln,83025,0,7,9,34,41,17,133,2500,88,0,6310ft - 10450ft,11/26-4/ 3,4.2,13,450,43.5873149,-110.8269876,http://www.onthesnow.com/wyoming/jackson-hole/ski-resort.html
128,Jay Peak,Jay,VT,4850 VT Rte 242,05859,0,3,20,40,40,0,78,385,79,16,1815ft - 3968ft,11/27-5/ 8,3.7,9,377,44.9649254,-72.4602429,http://www.onthesnow.com/vermont/jay-peak/ski-resort.html
129,Jiminy Peak,Hancock,MA,37 Corey Rd.,01237,1,0,53,27,13,7,45,167,71,53,1230ft - 2380ft,12/19-4/13,3.5,9,90,42.543138,-73.3237182,http://www.onthesnow.com/massachusetts/jiminy-peak/ski-resort.html
130,June Mountain,June Lake,CA,P.O. Box 146,93529,0,0,35,45,20,0,35,1500,N/A,N/A,7545ft - 10089ft,12/12-3/21,3.1,7,250,37.7797825,-119.0754232,http://www.onthesnow.com/california/june-mountain/ski-resort.html
131,Kelly Canyon Ski Area,Ririe,ID,Box 367,83443,0,1,35,45,20,0,51,740,N/A,N/A,5600ft - 6600ft,12/17-3/15,2.4,6,200,43.6318575,-111.773575,http://www.onthesnow.com/idaho/kelly-canyon-ski-area/ski-resort.html
132,Keystone,Keystone,CO,P.O. Box 38,80435,1,1,14,29,57,0,131,3148,N/A,N/A,9279ft - 12408ft,11/ 6-4/10,4.1,20,230,39.5791675,-105.9347384,http://www.onthesnow.com/colorado/keystone/ski-resort.html
133,Killington Resort,Killington,VT,4763 Killington Road,05751,0,5,28,33,24,15,155,1509,N/A,N/A,1165ft - 4241ft,10/19-5/29,3.8,22,250,43.6775677,-72.7798247,http://www.onthesnow.com/vermont/killington-resort/ski-resort.html
134,King Pine,Madison,NH,1251 Eaton Rd,03849,1,2,44,31,10,15,17,48,52,0,500ft - 850ft,12/26-3/27,3,6,120,43.8992395,-71.1484028,http://www.onthesnow.com/new-hampshire/king-pine/ski-resort.html
135,Kirkwood,Kirkwood,CA,PO Box 1,95646,0,2,12,30,38,20,86,2300,N/A,N/A,7800ft - 9800ft,11/14-4/10,3.6,15,600,38.7023082,-120.0722442,http://www.onthesnow.com/california/kirkwood/ski-resort.html
136,Kissing Bridge,Glenwood,NY,P.O. Box 73,14069,1,5,20,50,30,0,39,700,62,0,1150ft - 1700ft,1/ 6-3/29,3,10,120,42.6192276,-78.6578041,http://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html
137,Labrador Mt.,Truxton,NY,"Route 91, PO Box 105",13158,1,1,33,34,33,0,22,250,50,15,1125ft - 1825ft,1/ 6-3/29,2.9,4,125,42.7120125,-76.0285349,http://www.onthesnow.com/new-york/labrador-mt/ski-resort.html
138,Lee Canyon,Las Vegas,NV,6725 Lee Canyon Rd,89124,0,1,20,60,20,0,30,70,70,0,8510ft - 11289ft,11/27-3/29,2.9,3,120,36.1699412,-115.1398296,http://www.onthesnow.com/nevada/las-vegas-ski-and-snowboard-resort/ski-resort.html
139,Liberty,Carroll,PA,78 Country Club Trail,17320,1,3,35,40,0,25,16,100,72,0,570ft - 1190ft,1/ 8-3/22,3,8,31,40.1809497,-79.9360593,http://www.onthesnow.com/pennsylvania/liberty/ski-resort.html
140,Little Switzerland,Slinger,WI,105 Cedar Creek Rd,53086,1,3,39,33,0,28,18,50,N/A,N/A,1068ft - 1268ft,12/19-3/22,3,8,N/A,43.333613,-88.2862065,http://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html
141,Lookout Pass Ski Area,Wallace,ID,P.O. Box 108,83846,0,3,9,50,32,9,34,540,42,0,4500ft - 5650ft,11/26-3/22,3.2,4,400,47.4740945,-115.9279387,http://www.onthesnow.com/idaho/lookout-pass-ski-area/ski-resort.html
142,Loon Mountain,Lincoln,NH,60 Loon Mountain Rd.,03251,0,6,20,60,17,3,61,370,85,0,950ft - 3050ft,11/25-4/19,3.9,12,160,44.0380087,-71.6725066,http://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html
143,Lost Trail - Powder Mtn,Conner,MT,P.O. Box 311,59827,0,2,20,60,20,0,69,1000,40,0,6400ft - 8200ft,12/ 3-3/31,2.9,5,300,45.9307534,-114.1245288,http://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html
144,Lost Valley,Auburn,ME,Box 260,04212,1,2,47,20,33,0,16,45,40,25,255ft - 495ft,12/30-3/29,2.7,2,50,44.0978509,-70.2311655,http://www.onthesnow.com/maine/lost-valley/ski-resort.html
145,Loveland,Georgetown,CO,PO Box 899,80444,0,1,13,41,20,26,94,1800,N/A,N/A,10800ft - 13010ft,10/29-5/ 3,3.4,10,422,39.7060984,-105.6975041,http://www.onthesnow.com/colorado/loveland/ski-resort.html
146,Lutsen Mountains,Lutsen,MN, P.O. Box 129,55612,0,5,26,44,20,9,54,393,82,0,800ft - 1687ft,11/26-4/10,3.2,8,120,47.6469402,-90.6748026,http://www.onthesnow.com/minnesota/lutsen-mountains/ski-resort.html
147,Mad River Glen,Waitsfield,VT,P.O. Box 1089,05673,0,0,20,35,45,0,45,115,79,0,1600ft - 3637ft,1/ 9-4/19,3.2,5,228,44.1926386,-72.7798479,http://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html
148,Mad River Mountain,Bellefontaine,OH,P.O. Box 22,43311,1,4,33,19,47,2,20,144,45,0,1160ft - 1460ft,1/ 2-3/22,3.1,12,36,40.3611643,-83.7596557,http://www.onthesnow.com/ohio/mad-river-mountain/ski-resort.html
149,Magic Mountain,Londonderry,VT,P.O. Box 396,05148,0,1,30,30,15,25,43,195,67,32,1150ft - 2850ft,1/16-4/12,3.4,4,150,43.2264643,-72.8064866,http://www.onthesnow.com/vermont/magic-mountain/ski-resort.html
150,Magic Mountain Ski Area,Twin Falls,ID,319 Orchard Dr.,83301,0,0,25,25,20,30,11,280,31,0,6500ft - 7200ft,12/19-3/15,2.9,3,180,42.5629668,-114.4608711,http://www.onthesnow.com/idaho/magic-mountain-ski-area/ski-resort.html
151,Mammoth Mountain Ski Area,Mammoth,CA,P.O. Box 24,93546,0,11,25,40,20,15,151,3500,N/A,N/A,7952ft - 11052ft,11/ 5-5/29,4.1,28,400,41.7305599,-121.35389,http://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort.html
152,Maple Ski Ridge,Schenectady,NY,2725 Mariaville Road,12306,1,0,11,44,44,0,10,25,38,0,750ft - 1200ft,1/ 9-3/12,2.3,3,N/A,42.8142432,-73.9395687,http://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html
153,Marquette Mountain,Marquette,MI,4501 M-553,49855,1,3,15,50,35,0,35,169,N/A,N/A,757ft - 1357ft,12/ 3-4/12,3.1,4,210,46.5475825,-87.3955954,http://www.onthesnow.com/michigan/marquette-mountain/ski-resort.html
154,Massanutten,Harrisonburg,VA,PO Box 1227,22840,1,2,30,35,35,0,14,70,N/A,N/A,1750ft - 2925ft,1/ 7-3/22,3.4,8,35,38.4495688,-78.8689155,http://www.onthesnow.com/virginia/massanutten/ski-resort.html
155,Maverick Mountain,Polaris,MT,Box 475 Maverick Mountain Road,59746,0,0,30,40,30,0,22,255,36,22,6500ft - 8520ft,12/26-3/15,2.7,2,160,45.37005,-113.1190489,http://www.onthesnow.com/montana/maverick-mountain/ski-resort.html
156,McCauley Mountain Ski Center,Old Forge,NY,Town of Webb,13420,0,1,36,45,18,0,22,70,30,15,1562ft - 2250ft,1/ 7-4/ 5,3.2,5,200,43.7100885,-74.9734809,http://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html
157,Meadowlark Ski Lodge,Ten Sleep,WY,426 US-16,82442,0,1,29,43,29,0,14,300,48,30,8500ft - 9500ft,1/16-3/29,2.6,3,N/A,44.0341262,-107.4511871,http://www.onthesnow.com/wyoming/meadowlark-ski-lodge/ski-resort.html
158,Mission Ridge,Wenatchee,WA,P.O. Box 1668,98807,1,3,0,0,0,0,56,2000,55,10,4570ft - 6820ft,12/17-4/12,3.1,6,200,47.4234599,-120.3103494,http://www.onthesnow.com/washington/mission-ridge/ski-resort.html
159,Mohawk Mountain,Cornwall,CT,PO Box 27,06753,1,0,30,50,20,0,25,107,60,15,950ft - 1600ft,1/ 2-3/29,3.2,8,92,41.8437058,-73.3292848,http://www.onthesnow.com/connecticut/mohawk-mountain/ski-resort.html
160,Monarch Mountain,Monarch,CO,#1 Powder Place,81227,0,2,23,26,40,11,62,800,74,30,10789ft - 11952ft,11/20-4/10,3.7,6,350,38.5526022,-106.2939187,http://www.onthesnow.com/colorado/monarch-mountain/ski-resort.html
161,Montage Mountain,Scranton,PA,1000 Montage Mountain Rd,18507,1,2,35,30,20,15,26,140,59,0,960ft - 1960ft,1/ 7-3/31,3.5,7,47,41.408969,-75.6624122,http://www.onthesnow.com/pennsylvania/sno-mountain/ski-resort.html
162,Montana Snowbowl,Missoula,MT,P.O. Box 8107,59807,1,0,20,40,40,0,37,950,N/A,N/A,5000ft - 7600ft,12/ 4-3/29,3.1,4,300,46.8787176,-113.996586,http://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html
163,Mont Ripley,Houghton,MI,1400 Townsend Drive,49930,1,2,21,29,42,8,25,112,45,33,700ft - 1140ft,12/24-3/20,2.7,4,275,47.1211331,-88.5694182,http://www.onthesnow.com/michigan/mont-ripley/ski-resort.html
164,Mountain Creek Resort,Vernon,NJ,200 Route 94,07462,1,3,17,64,19,0,46,167,69.99,0,440ft - 1480ft,1/ 6-4/ 1,3.3,10,65,41.1947018,-74.4937943,http://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html
165,Mountain High,Wrightwood,CA,P.O. Box 3010,92397,1,1,20,42,34,3,59,290,59,0,6600ft - 8200ft,11/ 7-4/10,2.9,14,108,34.3608341,-117.6333884,http://www.onthesnow.com/california/mountain-high/ski-resort.html
166,Mount Ashland,Ashland,OR,P.O. Box 220,97520,1,2,5,20,50,25,23,220,46,0,6350ft - 7500ft,12/13-4/10,2.9,5,300,42.1945758,-122.7094767,http://www.onthesnow.com/oregon/mount-ashland/ski-resort.html
167,Mount Bohemia,Michigan,MI,Lac La Belle,53066,0,0,0,1,88,11,102,585,59,59,600ft - 1500ft,12/27-5/ 3,3.9,2,273,44.3148443,-85.6023643,http://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html
168,Mount Holiday Ski Area,Traverse,MI,3100 Holiday Road,49684,1,0,30,40,30,0,12,45,32,0,240ft - 440ft,1/ 6-3/15,2.9,4,120,47.2552019,-88.2642762,http://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html
169,Mount Holly,Holly,MI,13536 South Dixie Highway,48442,1,0,30,50,20,0,19,100,N/A,N/A,755ft - 1105ft,11/25-3/15,3.2,13,42,42.7919727,-83.6277255,http://www.onthesnow.com/michigan/mount-holly/ski-resort.html
170,Mount Kato Ski Area,Mankato,MN,20461 Hwy 66,56001,1,4,21,42,37,0,19,55,41,0,300ft - 540ft,11/27-3/22,2.7,10,50,44.1635775,-93.9993996,http://www.onthesnow.com/minnesota/mount-kato-ski-area/ski-resort.html
171,Mount La Crosse,La Crosse,WI,P.O. Box 9,54602,1,1,30,20,40,10,19,100,30,11,593ft - 1110ft,12/26-3/15,2.9,4,40,43.8013556,-91.2395807,http://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html
172,Mount Peter Ski Area,Warwick,NY,Rte 17A & Old Mt Peter Rd,10990,1,1,43,21,21,14,14,69,49,25,750ft - 1250ft,1/ 6-3/29,3.1,5,50,41.256483,-74.3598755,http://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html
173,Mount Pleasant of Edinboro,Venango,PA, 23301 Plank Rd ,16403,1,0,22,56,22,0,10,40,38,0,1200ft - 1540ft,12/21-3/25,3.1,2,100,41.7725563,-80.1131125,http://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html
174,Mount Shasta Board & Ski Park,McCloud,CA,4500 Ski Park,96067,0,3,20,55,25,0,32,425,54,12,5500ft - 6889ft,12/17-4/12,2.7,4,300,41.2557119,-122.1394487,http://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html
175,Mount Snow,Somerset,VT,39 Mount Snow Road,05356,0,8,14,73,13,0,80,588,N/A,N/A,1900ft - 3600ft,11/26-4/19,3.4,20,166,42.9502858,-72.9862472,http://www.onthesnow.com/vermont/mount-snow/ski-resort.html
176,Mount Southington Ski Area,Southington,CT,P.O. Box 347,06489,1,2,43,43,14,0,14,51,56,14,100ft - 525ft,1/ 5-4/ 5,3,7,80,41.5964869,-72.8776013,http://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html
177,Mount Sunapee,Newbury,NH,P.O. Box 2021 Route 103,03255,0,4,26,49,25,0,66,232,82,49,1232ft - 2742ft,11/27-4/19,2.9,10,100,43.3214646,-72.0359175,http://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html
178,Mt. Abram Ski Resort,Greenwood,ME,Howe Hill Road,04255,1,0,25,50,20,5,54,560,N/A,N/A,1050ft - 2250ft,12/ 5-4/12,3.1,5,125,44.3184011,-70.6508978,http://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html
179,Mt. Bachelor,Bend,OR,P.O. Box 1000,97702,0,5,15,25,35,25,88,3683,84,42,5700ft - 9064ft,11/21-5/30,3.4,12,462,44.0581728,-121.3153096,http://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html
180,Mt. Baker,Bellingham,WA,1420 Iowa St.,98229,0,0,24,45,0,31,38,1000,58,25,3589ft - 5089ft,11/19-4/19,3.3,8,682,48.74908,-122.4781473,http://www.onthesnow.com/washington/mt-baker/ski-resort.html
181,Mt. Baldy,Mt Baldy ,CA,8401 Mt Baldy Rd,91759,0,0,20,40,20,20,26,400,69,29,6500ft - 8600ft,12/29-3/29,2.8,4,178,34.2363809,-117.6589752,http://www.onthesnow.com/california/mt-baldy/ski-resort.html
182,Mt. Brighton,Brighton,MI,4141 Bauer Road,48116,1,5,30,40,30,0,24,130,N/A,N/A,1100ft - 1330ft,1/ 1-3/22,2.9,12,60,42.5294773,-83.7802214,http://www.onthesnow.com/michigan/mount-brighton/ski-resort.html
183,Mt. Crescent Ski Area,Crescent,IA,P.O. Box 69,51526,1,1,18,45,27,9,11,50,39,5,1200ft - 1500ft,12/27-3/ 8,2.9,2,30,41.364996,-95.8580668,http://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html
184,Mt. Hood Meadows,Mt Hood,OR,14040 Hwy 35,97041,1,6,15,50,20,15,85,2150,N/A,N/A,4522ft - 7300ft,11/21-5/ 1,3.2,14,430,45.5378947,-121.568408,http://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html
185,Mt. Hood Ski Bowl,Government Camp,OR,PO Box 280,97028,1,0,20,40,40,0,65,960,53,0,3600ft - 5100ft,12/16-4/13,3.3,9,300,45.3040072,-121.7547998,http://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html
186,Mt. Jefferson,Lee,ME,P. O. Box 35,04455,0,0,33,34,33,0,10,12,N/A,N/A,351ft - 752ft,2/ 9-3/29,2.8,3,N/A,45.3600615,-68.2864076,http://www.onthesnow.com/maine/mt-jefferson/ski-resort.html
187,Mt. Rose ,Reno,NV,22222 Mt. Rose Hwy.,89511,0,3,20,30,40,10,60,1200,N/A,N/A,8260ft - 9700ft,11/ 4-4/19,3.3,8,300,39.5296329,-119.8138027,http://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html
188,Mt. Spokane Ski and Snowboard Park,Mead,WA,29500 North Mt. Spokane Park Dr.,99021,1,3,23,32,45,0,47,1000,54,0,3818ft - 5889ft,12/11-3/29,3.1,5,300,47.7664789,-117.3552741,http://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html
189,Mulligan's Hollow Ski Bowl,Grand,MI,Box 969,49417,1,0,25,25,25,25,6,10,16,12,570ft - 700ft,1/ 7-3/22,0,5,60,44.30646,-84.635667,http://www.onthesnow.com/michigan/mulligans-hollow-ski-bowl/ski-resort.html
190,Nashoba Valley,Westford,MA,PO Box 309,01886,1,2,24,47,29,0,17,52,54,42,200ft - 440ft,12/29-3/29,2.6,11,55,42.5792583,-71.4378411,http://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html
191,New Hermon Mountain,Hermon,ME,441 Newburg Rd,04981,1,0,40,30,30,0,20,70,27,22,100ft - 450ft,12/26-3/29,2.6,3,90,44.81007,-68.9133724,http://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html
192,Nordic Mountain,Wild,WI,W5806 Cty Rd W,54984,1,3,28,28,33,11,18,60,44,0,872ft - 1137ft,11/28-3/22,2.9,7,80,43.7581544,-88.510769,http://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html
193,Nordic Valley Resort,Eden,UT,3567 Nordic Valley Way,84310,1,0,30,40,30,0,22,88,39,25,5439ft - 6400ft,12/19-2/16,2.9,4,300,41.3007423,-111.8127212,http://www.onthesnow.com/utah/wolf-creek/ski-resort.html
194,Northstar California,Truckee,CA,PO Box 129,96160,0,7,16,47,37,0,100,3170,N/A,N/A,6329ft - 8610ft,11/14-4/17,3.6,20,350,39.327962,-120.1832533,http://www.onthesnow.com/california/northstar-california/ski-resort.html
195,Norway Mountain,Norway,MI,P.O. Box 95,49870,1,2,6,33,33,28,17,186,45,20,835ft - 1335ft,12/ 4-3/29,3,6,100,45.7869023,-87.9037364,http://www.onthesnow.com/michigan/norway-mountain/ski-resort.html
196,Nubs Nob Ski Area,Harbor,MI,500 Nub's Nob Road,49740,1,3,30,50,20,0,53,248,70,47,911ft - 1337ft,11/27-4/10,3,11,135,42.1342065,-83.4201553,http://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html
197,Oak Mountain,Speculator,NY,141 Novosel Way,12164,1,1,45,27,18,9,22,46,38,0,1750ft - 2400ft,12/31-3/28,0,3,120,43.4972896,-74.3618105,http://www.onthesnow.com/new-york/oak-mountain/ski-resort.html
198,Ober Gatlinburg Ski Resort,Gatlinburg,TN,1001 Parkway,37738,0,1,20,60,20,0,10,N/A,65,0,2700ft - 3300ft,12/20-3/15,2.8,4,35,35.714259,-83.5101638,http://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html
199,Okemo Mountain Resort,Ludlow,VT,77 Okemo Ridge Road,05149,0,9,32,37,23,8,121,667,97,65,1143ft - 3343ft,11/24-4/27,3.8,20,200,43.3959056,-72.7006518,http://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html
200,Otis Ridge Ski Area,Otis,MA,159 Monterey Road - Route 23,01253,1,1,30,40,30,0,11,60,40,0,1300ft - 1700ft,12/12-3/29,3.1,4,70,42.1930224,-73.0919689,http://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html
201,Pajarito Mountain Ski Area,Los Alamos,NM,P.O. Box 155,87544,0,2,20,50,30,0,44,280,N/A,N/A,9031ft - 10441ft,11/27-4/10,3.1,6,163,35.8800364,-106.3031138,http://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html
202,Paoli Peaks,Paoli,IN,P.O. Box 67,47454,1,2,47,33,13,7,15,65,42,0,600ft - 900ft,1/ 4-3/13,3,8,18,38.5561663,-86.468321,http://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html
203,Park City,Park City,UT,P.O. Box 39,84060,1,6,9,51,30,10,334,7300,N/A,N/A,6800ft - 10000ft,11/21-4/10,4.3,41,355,40.6460622,-111.4979729,http://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html
204,Pats Peak,Henniker,NH,PO Box 2448,03242,1,3,50,21,11,18,28,115,66,0,690ft - 1460ft,12/26-3/27,3.1,11,100,43.1798323,-71.8222872,http://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html
205,Pebble Creek Ski Area,Inkom,ID,P.O. Box 370,83245,1,2,12,30,29,29,54,1100,43,3,6360ft - 8560ft,12/22-4/ 3,3.1,3,250,42.7963041,-112.2541374,http://www.onthesnow.com/idaho/pebble-creek-ski-area/ski-resort.html
206,Peek'n Peak,Findley,NY,P.O. Box 360,14736,1,4,30,45,15,10,27,110,57,0,1400ft - 1800ft,12/26-4/12,3.3,10,225,42.46928,-78.2830845,http://www.onthesnow.com/new-york/peekn-peak/ski-resort.html
207,Perfect North Slopes,Lawrenceburg,IN,19074 Perfect Lane,47025,1,0,20,50,20,10,23,120,47,35,400ft - 800ft,12/26-3/15,3.1,11,24,39.090891,-84.8499504,http://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html
208,Pico Mountain ,Killington,VT,4763 Killington Road,05751,0,0,18,46,33,3,57,468,N/A,N/A,2000ft - 3966ft,1/ 2-4/ 3,3.5,7,250,43.6775677,-72.7798247,http://www.onthesnow.com/vermont/pico-mountain-at-killington/ski-resort.html
209,Pine Knob Ski Resort,Clartkston,MI,7778 Sashabaw Road,48348,0,3,20,20,40,20,14,80,N/A,N/A,1008ft - 1307ft,11/25-3/15,3.1,6,N/A,42.7351196,-83.4192941,http://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html
210,Pine Mountain,Iron Mountain,MI,N3332 Pine Mountain Road,49801,1,3,20,55,25,0,27,160,42,15,1150ft - 1650ft,12/25-4/11,3.4,5,60,45.8202334,-88.0659603,http://www.onthesnow.com/michigan/pine-mountain/ski-resort.html
211,Plattekill Mountain,Roxbury,NY,469 Plattekill Mountain Road,12474,0,1,20,40,20,20,38,110,61,30,2400ft - 3500ft,1/ 1-4/17,2.9,4,175,42.3004166,-74.5547222,http://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html
212,Pomerelle Mountain Resort,Albion,ID,P.O. Box 158,83311,1,2,40,40,20,0,24,500,45,0,8000ft - 9000ft,11/26-3/29,2.8,3,500,42.4126885,-113.578063,http://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html
213,Powderhorn,Mesa,CO, 48338 Powderhorn Rd,81643,0,2,15,15,50,20,42,1600,69,34,8200ft - 9850ft,12/ 4-3/23,3.1,4,250,39.1662458,-108.1388881,http://www.onthesnow.com/colorado/powderhorn/ski-resort.html
214,Powder Mountain,Eden,UT,P.O. Box 450,84310,1,2,25,40,35,0,144,7000,69,0,6900ft - 9422ft,12/14-4/ 5,3.3,7,500,41.3007423,-111.8127212,http://www.onthesnow.com/utah/powder-mountain/ski-resort.html
215,Powder Ridge Park,Middlefield,CT,99 Powder Hill Road,06455,1,4,42,37,21,0,19,80,55,19,170ft - 720ft,1/ 8-3/28,0,5,80,41.5173203,-72.7120402,http://www.onthesnow.com/connecticut/powder-ridge-park/ski-resort.html
