ID,name,city,state,addr,zip,night,park,beginner,intermediate,advanced,expert,total_runs,area,max_price,min_price,elev,dates,rating,lifts,avg_snowfall,lat,lon,link
25,Beech Mountain Resort,Banner,NC,PO Box 1118,28604,1,1,30,40,30,0,15,95,77,0,4675ft - 5504ft,11/27-3/22,3,7,31,35.3907897,-78.5433701,http://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html
26,Belleayre,Highmount,NY,P.O. Box 313,12441,0,2,22,58,10,10,50,171,66,40,2025ft - 3429ft,12/ 4-4/12,3.1,8,120,42.1442557,-74.4898745,http://www.onthesnow.com/new-york/belleayre/ski-resort.html
27,Berkshire East,Charlemont,MA,P.O. Box 727,01339,1,2,37,44,17,2,44,163,60,0,540ft - 1720ft,1/ 7-4/ 5,3.1,6,120,42.627862,-72.8698183,http://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html
28,Big Boulder,Blakeslee,PA,P.O.Box 1539,18610,1,8,100,0,0,0,16,55,N/A,N/A,1700ft - 2175ft,12/12-4/19,2.9,8,50,41.092586,-75.5926886,http://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html
29,Big Powderhorn Mountain,Bessemer,MI,N11375 Powderhorn Road,49911,0,2,30,42,24,3,33,253,59,40,1200ft - 1800ft,12/23-4/ 3,3.2,10,214,46.4813363,-90.0529504,http://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html
30,Big Sky Resort,Big,MT,P.O. Box 160001,59716,0,7,15,25,42,18,306,5800,106,46,6800ft - 11166ft,11/26-4/17,4.2,34,400,41.279898,-119.0604585,http://www.onthesnow.com/montana/big-sky-resort/ski-resort.html
31,Big Squaw Mountain Ski Resort,Greenville,ME,P.O. Box 430,04441,0,0,33,34,33,0,29,N/A,25,25,1750ft - 3200ft,12/26-4/ 4,2.8,1,N/A,45.4594863,-69.5905815,http://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html
32,Bittersweet Ski Area,Otsego,MI,600 River Road,49078,1,2,30,40,30,0,20,100,41,16,450ft - 850ft,12/21-3/22,3,12,90,42.4605904,-85.696406,http://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html
33,Blackjack Ski Resort,Bessemer,MI,N11251 Black Jack Rd,49911,0,2,20,40,0,40,26,170,51,14,385ft - 850ft,12/26-3/27,2.6,6,210,46.4813363,-90.0529504,http://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html
34,Black Mountain,Jackson,NH,P.O. Box B,03846,0,0,33,34,8,25,45,143,55,30,1250ft - 2350ft,1/ 2-3/28,2.9,4,125,44.1462613,-71.1850996,http://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html
35,Blacktail Mountain Ski Area,Lakeside,MT,Box 1090,59922,0,0,15,70,15,0,25,1000,40,15,5235ft - 6675ft,12/21-4/12,3.1,4,250,48.019969,-114.2279084,http://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html
36,Blandford Ski Area,Blandford,MA,PO Box 158,01008,0,2,40,50,10,0,29,158,N/A,N/A,1035ft - 1685ft,1/ 9-3/16,2.9,5,50,42.1806463,-72.9273224,http://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html
37,Blue Hills Ski Area,Canton,MA,4001 Washington St,02021,0,1,13,25,62,0,16,60,40,30,326ft - 635ft,1/ 6-4/ 3,3,4,N/A,42.1584324,-71.1447732,http://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html
38,Blue Knob,Claysburg,PA,PO Box 247,16625,1,1,15,41,26,18,34,100,60,0,2073ft - 3146ft,1/ 4-3/22,3,5,120,40.2967427,-78.449737,http://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html
39,Blue Mountain Resort,Palmerton,PA,PO Box 216,18071,1,6,41,13,13,33,39,164,N/A,N/A,460ft - 1600ft,12/22-4/ 5,3.6,14,33,40.8014826,-75.6101867,http://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html
40,Bluewood,Dayton,WA,PO Box 88,99328,0,2,17,45,38,0,24,355,39,0,4545ft - 5670ft,12/19-3/15,3,3,300,46.3237525,-117.9724367,http://www.onthesnow.com/washington/bluewood/ski-resort.html
41,Bogus Basin,Boise,ID,2600 Bogus Basin Rd.,83702,1,0,22,45,33,0,75,2600,54,0,5800ft - 7581ft,11/27-4/10,3.2,7,250,43.6187102,-116.2146068,http://www.onthesnow.com/idaho/bogus-basin/ski-resort.html
42,Bolton Valley,Bolton,VT,4302 Bolton Access Rd,05477,1,3,34,38,23,6,71,300,59,0,1446ft - 3150ft,12/31-4/10,3.1,6,300,44.3726476,-72.8787625,http://www.onthesnow.com/vermont/bolton-valley/ski-resort.html
43,Boreal Mountain Resort,Truckee,CA,P.O. Box 39,96161,1,6,21,39,39,0,33,380,59,29,7200ft - 7700ft,11/ 6-4/19,3.4,8,400,39.327962,-120.1832533,http://www.onthesnow.com/california/boreal/ski-resort.html
44,Boston Mills,Peninsula,OH,P.O. Box 175,44264,1,2,20,40,40,0,7,40,43,10,631ft - 871ft,1/ 6-3/22,2.8,8,51,41.2411668,-81.5526176,http://www.onthesnow.com/ohio/boston-mills/ski-resort.html
45,Bousquet Ski Area,Pittsfield,MA,Dan Fox Dr.,01201,0,2,34,33,33,0,23,200,45,10,1125ft - 1875ft,1/ 6-3/29,2.3,5,83,42.4500845,-73.2453824,http://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html
46,Boyne Highlands,Harbor,MI,600 Highlands Drive,49740,1,4,35,29,35,2,55,435,N/A,N/A,745ft - 1290ft,12/ 4-3/30,3.6,10,140,42.1342065,-83.4201553,http://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html
47,Boyne Mountain Resort,Boyne,MI,P.O. Box 19,49713,1,7,57,23,17,3,60,415,N/A,N/A,620ft - 1120ft,12/ 4-4/19,3.3,12,140,45.2048594,-84.9968228,http://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html
48,Bradford Ski Area,Bradford,MA,P.O. Box 99,01835,0,1,10,80,10,0,15,48,48,25,1300ft - 1547ft,1/ 6-3/29,2.7,10,N/A,42.7695348,-71.0758905,http://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html
49,Brandywine,Peninsula,OH,PO Box 175,44264,1,2,27,27,46,0,11,85,43,10,631ft - 871ft,1/ 6-4/ 5,3,16,51,41.2411668,-81.5526176,http://www.onthesnow.com/ohio/brandywine/ski-resort.html
50,Brantling Ski Slopes,Sodus,NY,4015 Fish Farm Road,14551,0,0,30,40,30,0,10,20,30,20,600ft - 850ft,1/ 3-4/ 5,2.9,5,110,43.2378428,-77.0613618,http://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html
51,Breckenridge,Breckenridge,CO,P.O. Box 1058,80424,0,4,11,31,24,34,187,2908,N/A,N/A,9600ft - 12997ft,11/13-4/24,4.2,34,300,39.4816537,-106.0383518,http://www.onthesnow.com/colorado/breckenridge/ski-resort.html
52,Bretton Woods,Bretton,NH,Route 302,03575,1,3,25,29,30,16,97,464,89,25,1600ft - 3100ft,11/22-4/21,3.7,10,200,42.8349302,-71.3670454,http://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html
53,Brian Head Resort,Brian,UT,P.O. Box 190008,84719,0,3,30,35,35,0,71,650,54,0,9600ft - 11306ft,11/20-4/12,3.3,8,400,39.5667169,-111.3838579,http://www.onthesnow.com/utah/brian-head-resort/ski-resort.html
54,Bridger Bowl,Bozeman,MT,15795 Bridger Canyon Rd.,59715,0,2,12,28,18,42,105,2000,54,0,6100ft - 8700ft,12/11-4/ 3,3.2,8,350,45.6769979,-111.0429339,http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html
55,Brighton Resort,Brighton,UT,12601 Big Cottonwood Canyon Rd,84121,1,1,21,39,25,15,66,1050,75,0,8754ft - 10500ft,11/18-4/17,3.5,6,500,40.60384,-111.5821429,http://www.onthesnow.com/utah/brighton-resort/ski-resort.html
56,Bristol Mountain,Canandaigua,NY,5662 Route 64,14424,1,3,35,45,20,0,34,160,72,0,1000ft - 2200ft,12/22-4/ 5,3.4,6,60,42.887535,-77.2816984,http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html
57,Bromley Mountain,Manchester,VT,PO Box 1130,05255,0,3,30,36,32,2,47,178,73,41,1950ft - 3283ft,11/28-4/10,2.7,8,145,43.1636875,-73.0723268,http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html
58,Bruce Mound,Neilsville,WI,517 Court St.,54754,1,2,17,17,50,16,12,40,23,9,1000ft - 1375ft,3/13-3/13,3.2,5,42,44.559962,-90.5962498,http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html
59,Brundage Mountain Resort,McCall,ID,P.O. Box 1062,83638,0,2,20,50,10,20,46,1500,62,18,5839ft - 7639ft,12/11-4/10,3,5,320,44.911006,-116.0987364,http://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html
60,Bryce Resort,Basye,VA,P.O. Box 3,22810,1,0,38,50,13,0,8,25,63,0,1250ft - 1750ft,1/ 7-3/28,2.9,7,30,38.81435,-78.7646228,http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html
61,Buck Hill,Burnsville,MN,15400 Buck Hill Road,55306,1,0,34,34,16,16,16,45,44,26,918ft - 1225ft,12/19-3/15,3,8,60,44.7677424,-93.2777226,http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html
62,Buena Vista Ski Area,Bemidji,MN,621 Lake Julia Drive NW,56601,1,0,20,55,25,0,17,30,N/A,N/A,1280ft - 1510ft,11/28-3/15,2.9,6,78,47.4875361,-94.8858492,http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html
63,Buffalo Ski Club Ski Area,Orchard,NY,P.O. Box 608,14033,1,1,20,46,0,34,43,225,45,30,2025ft - 3429ft,1/12-3/29,3.1,7,N/A,43.370174,-78.270484,http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html
64,Caberfae Peaks,Cadillac,MI,Caberfae Road,49601,1,2,35,33,32,0,34,200,47,5,1060ft - 1568ft,12/ 4-4/ 3,3.1,5,140,44.2519526,-85.4011619,http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html
65,Camden Snow Bowl,Camden,ME,PO Box 1207,04843,1,2,9,30,61,0,23,100,39,0,150ft - 1080ft,1/ 2-4/ 4,2.7,3,69,44.2097928,-69.0647838,http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html
66,Camelback Mountain Resort,Tannersville,PA,PO Box 168,18372,1,5,32,32,32,3,35,160,65,0,1250ft - 2100ft,12/22-4/ 5,3,16,50,41.0398099,-75.3057288,http://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html
67,Campgaw Mountain,Mahwah,NJ,200 Campgaw Rd.,07430,1,1,31,31,23,15,13,23,45,0,450ft - 726ft,1/ 7-3/29,3,5,45,41.0886216,-74.1435843,http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html
68,Canaan Valley Resort,Davis,WV,HC 70 Box 330,26260,1,1,19,36,43,2,47,91,59,0,3429ft - 4279ft,1/ 6-3/20,3.6,5,180,39.1287189,-79.4647739,http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html
69,Cannon Mountain,Franconia,NH,Franconia Notch State Park,03580,0,3,15,52,33,0,95,282,75,39,1900ft - 4079ft,12/ 4-4/10,3.2,10,160,44.2271729,-71.7479075,http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html
70,Cannonsburg,Cannonsburg,MI,P.O. Box 19,49317,0,5,35,50,15,0,21,100,37,0,850ft - 1100ft,1/ 6-3/22,3,10,100,43.0539179,-85.4697477,http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html
71,Cascade Mountain,Portage,WI,W10441 Cascade Mtn. Rd.,53901,1,4,36,36,28,0,36,160,55,0,820ft - 1280ft,12/18-3/20,3.2,11,56,43.5391486,-89.4626202,http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html
72,Cataloochee Ski Area,Maggie,NC,1080 Ski Lodge Road,28751,1,2,44,39,0,17,18,50,65,0,4660ft - 5400ft,11/22-3/27,2.9,5,50,34.8802869,-79.7410311,http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html
73,Catamount,Hillsdale,MA,P.O. Box 639 ,12529,1,3,33,42,19,6,36,132,65,16,1000ft - 2000ft,1/ 7-4/ 5,3.4,7,108,42.4386967,-73.1253799,http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html
74,Chestnut Mountain Resort,Galena,IL,P.O. Box 6328,61036,1,0,30,40,20,10,22,139,N/A,N/A,565ft - 1040ft,12/19-3/15,3.1,9,50,42.4166744,-90.4290168,http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html
75,Christie Mountain,Bruce,WI,W13755  CTH O,54819,1,4,37,23,30,10,30,45,N/A,N/A,1300ft - 1650ft,12/ 5-3/16,3.1,6,48,45.4569087,-91.2732106,http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html
76,Christmas Mountain,Wisconsin,WI,S-944 Christmas Mountain Road,53965,1,0,40,40,20,0,15,40,N/A,N/A,1000ft - 1250ft,12/19-3/22,3,5,20,43.7844397,-88.7878678,http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html
77,Coffee Mill Ski & Snowboard Resort,Wabasha,MN,Box 127,55981,1,1,35,29,7,29,14,40,35,0,725ft - 1150ft,4/30-4/30,3,3,48,44.3710051,-92.0382346,http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html
78,Cooper Spur,Mount,OR,10755 Cooper Spur Road,97041,0,0,40,60,0,0,10,50,32,10,3500ft - 4000ft,12/18-3/29,2.1,2,100,10.6554875,-61.42976,http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html
79,Copper Mountain Resort,Copper,CO,P.O. Box 3001,80443,0,6,21,25,36,18,142,2465,78,54,9702ft - 12312ft,11/11-4/17,4,23,305,35.8551568,-115.6850424,http://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html
80,Cranmore Mountain Resort,North,NH,P.O. Box 1640,03860,0,4,28,44,28,0,57,200,N/A,N/A,600ft - 2000ft,11/27-4/ 5,3.1,7,150,43.1938516,-71.5723953,http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html
81,Crested Butte Mountain Resort,Crested Butte,CO,12 Snowmass Rd,81225,0,1,14,41,15,30,124,1547,108,59,9100ft - 12162ft,11/25-4/ 3,4.2,15,300,38.8697146,-106.9878231,http://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html
82,Crotched Mountain,Bennington,NH,"615 Francestown Road, Route 47",03442,1,3,28,40,32,0,25,100,64,46,1050ft - 2066ft,1/ 1-4/ 5,3.1,5,105,42.9968843,-71.9164217,http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html
83,Crystal Mountain,Thompsonville,MI,12500 Crystal Mountain Drive,49683,1,5,22,48,30,0,58,103,72,29,757ft - 1132ft,12/ 5-4/10,3.7,9,132,44.5202794,-85.9439718,http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html
84,Crystal Mountain,Crystal Mountain,WA,33914 Crystal Mtn Blvd.,98022,0,1,11,54,32,3,57,2600,72,0,4400ft - 7012ft,11/21-4/17,3.1,11,486,46.9281666,-121.5045349,http://www.onthesnow.com/washington/crystal-mountain/ski-resort.html
85,Dartmouth Skiway,Hanover,NH,DCAD Dartmouth College,03755,0,1,21,50,25,4,28,107,47,25,973ft - 1942ft,1/12-3/27,3.1,4,100,43.7022451,-72.2895526,http://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html
86,Deer Valley Resort,Park City,UT,P.O. Box 1525,84060,0,0,27,41,27,5,101,2026,120,23,6570ft - 9570ft,12/ 5-4/10,4.3,21,300,40.6460622,-111.4979729,http://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html
87,Devils Head,Merrimac,WI,S-6330 Bluff Road,53561,1,1,30,40,30,0,27,260,54,0,495ft - 995ft,12/17-3/20,3.2,12,45,43.3733198,-89.6234552,http://www.onthesnow.com/wisconsin/devils-head/ski-resort.html
88,Diamond Peak,Incline,NV,1210 Ski Way,89451,0,3,10,42,48,0,31,655,64,22,6700ft - 8539ft,12/ 3-4/10,2.8,7,300,41.0589263,-75.3536517,http://www.onthesnow.com/nevada/diamond-peak/ski-resort.html
89,Discovery Ski Area,Anaconda,MT,PO Box 221,59711,0,1,20,25,25,30,67,2000,42,0,5770ft - 8150ft,11/26-4/ 5,3.1,8,200,46.1262998,-112.9478359,http://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html
90,Dodge Ridge,Pinecrest,CA,1 Dodge Ridge Rd,95364,0,5,20,40,40,0,67,862,68,15,6600ft - 8200ft,12/11-4/10,3.1,12,300,38.1923581,-119.9946131,http://www.onthesnow.com/california/dodge-ridge/ski-resort.html
91,Donner Ski Ranch,Norden,CA,P.O. Box 66,95724,0,1,25,50,25,0,52,505,59,20,7031ft - 8012ft,12/ 5-4/12,2.9,8,396,39.3174625,-120.3296682,http://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html
92,Dry Hill Ski Area,Watertown,NY,P.O. Box 202,13601,1,1,33,34,33,0,7,35,35,12,650ft - 950ft,1/ 6-3/29,2.9,3,125,43.9747838,-75.9107565,http://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html
93,Eaglecrest Ski Area,Juneau,AK,155 South Seward St.,99801,0,1,20,40,30,10,36,640,46,21,1200ft - 2600ft,12/19-4/12,3.2,4,350,58.3019444,-134.4197222,http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html
94,Eagle Point,Beaver,UT,150 S West Village Circle,84713,0,1,20,35,45,0,40,600,N/A,N/A,9100ft - 10600ft,12/21-3/22,3.3,5,400,38.2769149,-112.6410518,http://www.onthesnow.com/utah/eagle-point/ski-resort.html
