ID,wthr,dscr,temp,pres,humd,spd,rain,snow
319,Rain,light rain,33.51,851.94,94,2.86,0.695,0
320,Clear,clear sky,36.39,920.6,77,11.32,0,0
321,Clouds,few clouds,26.94,779.23,83,5.99,0,0
322,Rain,light rain,47.41,1001.98,100,8.3,1.0225,0
323,Clear,clear sky,19.92,969.32,71,1.97,0,0
324,Rain,light rain,41.2,987.96,98,7.07,2.5075,0
325,Clouds,overcast clouds,38.91,991.36,51,2.37,0,0
326,Rain,light rain,43.14,990.23,100,6.22,0.1075,0
327,Clouds,overcast clouds,40.39,1008.39,59,2.19,0,0
328,Rain,moderate rain,58.48,1000.77,99,3.27,3.1175,0
329,Clear,clear sky,30.81,715.92,51,3.27,0,0
330,Rain,moderate rain,59.16,961.86,97,3.76,4.5675,0
331,Rain,light rain,47.68,949.86,98,7.29,2.1425,0
332,Clear,clear sky,33.01,775.83,57,3.53,0,0
333,Clouds,few clouds,54.57,919.46,94,3.87,0,0
334,Clouds,overcast clouds,48.09,1018.76,61,5.39,0,0
335,Clouds,overcast clouds,45.16,1000.04,38,7.56,0,0
336,Clouds,overcast clouds,43.9,1034.08,83,6.06,0,0
