ID,1-wthr,1-dscr,1-avg_day,1-avg_night,1-t_min,1-t_max,1-pres,1-humd,1-w_spd,1-rain,1-snow,2-wthr,2-dscr,2-avg_day,2-avg_night,2-t_min,2-t_max,2-pres,2-humd,2-w_spd,2-rain,2-snow,3-wthr,3-dscr,3-avg_day,3-avg_night,3-t_min,3-t_max,3-pres,3-humd,3-w_spd,3-rain,3-snow,4-wthr,4-dscr,4-avg_day,4-avg_night,4-t_min,4-t_max,4-pres,4-humd,4-w_spd,4-rain,4-snow,5-wthr,5-dscr,5-avg_day,5-avg_night,5-t_min,5-t_max,5-pres,5-humd,5-w_spd,5-rain,5-snow,6-wthr,6-dscr,6-avg_day,6-avg_night,6-t_min,6-t_max,6-pres,6-humd,6-w_spd,6-rain,6-snow,7-wthr,7-dscr,7-avg_day,7-avg_night,7-t_min,7-t_max,7-pres,7-humd,7-w_spd,7-rain,7-snow
11,Clear,clear sky,30.25,25.21,25.21,30.25,794.52,47,8.79,0,0,Rain,light rain,45.05,30.7,22.3,48.58,788,60,7.23,2.21,0,Snow,snow,29.43,21.87,21.87,29.43,788.22,73,18.75,0,5.92,Clear,clear sky,35.73,18.34,14.38,39.24,801.23,0,3.85,0,0.01,Clear,clear sky,41.65,25.18,12.83,48.72,799.11,0,3.53,0,0,Clear,clear sky,45.86,23.49,15.84,46.94,799.62,0,3.24,0,0,Clear,clear sky,48.67,31.24,15.8,49.78,799.58,0,3.71,0,0
12,Snow,light snow,29.17,27.9,27.05,29.17,875.91,87,1.63,0,1.03,Clear,clear sky,36.43,14.85,14.85,36.43,877.2,56,5.3,0,0.02,Clear,clear sky,36.9,18.41,12.24,36.9,878.44,53,5.17,0,0,Clouds,scattered clouds,39,14.61,14.61,39,878.41,56,3.06,0,0,Clear,clear sky,34.95,23.95,15.98,44.85,886.65,0,2.66,0,0,Clear,clear sky,36.95,29.91,19.62,46.94,884.93,0,3.22,0,0,Rain,light rain,39.58,27.73,27.73,45.37,882.86,0,1.74,1.53,0
13,Rain,moderate rain,55.69,52.03,52.03,55.69,924.87,97,2.98,3.52,0,Rain,light rain,55.44,43.16,43.16,55.44,925.15,69,2.64,2.19,0,Rain,light rain,46.8,40.14,40.14,48.09,924.88,91,2.75,2.85,0,Rain,heavy intensity rain,47.79,53.4,39.34,53.67,945.72,0,4.72,14.6,0,Snow,light snow,38.05,28.27,28.27,44.82,937.32,0,11.41,4.09,1.03,Snow,light snow,40.06,26.76,26.76,40.06,952.41,0,7.81,0,0.05,Clear,clear sky,43.18,36.07,20.16,43.18,954.4,0,4.23,4.45,0.02
14,Snow,light snow,30.31,27.41,27.41,30.31,1009.17,74,10.25,0,0.09,Clear,clear sky,30.87,21.7,18.21,33.24,1012.29,78,5.32,0,0.01,Clear,clear sky,37.31,19.8,15.76,40.26,1011.62,75,4.43,0,0,Clear,clear sky,43.41,28.13,17.64,44.62,1008.88,74,7.4,0,0.01,Snow,snow,33.06,24.76,24.76,33.3,976.83,0,23.02,0.81,5.96,Snow,snow,27.95,9.48,9.48,27.95,993.75,0,16.17,0,1.65,Snow,snow,27.39,15.73,15.73,27.39,994.73,0,20.76,0,2.69
15,Snow,light snow,23.99,21.34,21.34,23.99,743.45,60,3.31,0,0.11,Snow,snow,33.17,21.25,13.48,33.17,737.66,48,0.4,0,11.07,Snow,snow,19.18,12.85,12.85,20.41,742.9,73,2.98,0,5.52,Clear,clear sky,26.4,2.66,0.72,30.36,743.89,64,2.71,0,0,Clear,clear sky,35.8,22.87,1.08,35.8,732.03,0,2.89,0,0,Clear,clear sky,32.18,20.37,18.75,32.18,732.34,0,7.63,0,0,Snow,light snow,40.66,20.44,12.6,40.66,731.89,0,3.87,0.51,0.23
16,Clear,clear sky,40.24,30.92,30.92,40.24,812.52,60,2.64,0,0,Clear,clear sky,54.36,38.8,24.96,55.6,809.4,34,5.99,0,0,Clear,clear sky,37.31,25.65,25.65,41.13,811.4,34,13.04,0,0,Clear,clear sky,40.44,19.9,17.1,47.86,816.76,41,3.38,0,0,Clear,clear sky,48.58,29.17,18,61.14,845.31,0,3.65,0,0,Clear,clear sky,56.71,31.86,24.39,61.83,844.81,0,3.6,0,0,Clouds,scattered clouds,56.41,35.26,30.65,62.38,843.55,0,1.79,0,0
17,Clear,clear sky,19.36,9.81,9.81,19.36,698.39,62,2.75,0,0,Snow,snow,28.62,17.47,2.01,28.62,692.35,54,2.64,0,2.8,Snow,snow,20.3,14.97,14.97,21.99,693.62,47,2.64,0,4.75,Snow,light snow,24.69,1.94,1.94,30.18,697.93,42,2.93,0,0.25,Clear,clear sky,30.09,12.31,-0.04,34.11,732.64,0,1.77,0,0.02,Clear,clear sky,34.93,8.58,5.07,34.93,732.94,0,2.68,0,0,Snow,light snow,34.99,17.38,0.77,36.25,732.3,0,2.55,0,0.16
18,Clouds,scattered clouds,28.96,28.96,28.96,28.96,981.69,64,5.55,0,0,Clear,clear sky,22.06,11.46,11.46,26.01,986.72,43,5.39,0,0,Snow,light snow,14.18,20.12,2.57,25.38,998.83,44,2.82,0,0.23,Clear,clear sky,30.63,18.1,16.65,38.28,992.49,71,2.68,0,0.01,Clear,clear sky,53.98,48.79,39.65,54.36,965.89,0,8.01,31.1,0.02,Snow,snow,31.19,20.88,20.88,34.29,965.38,0,12.68,2.19,2.62,Snow,light snow,26.89,20.86,17.89,26.89,993.92,0,6.96,0,0.11
19,Clouds,few clouds,33.49,21.92,21.92,33.49,811.46,84,1.19,0,0,Clear,clear sky,51.69,22.73,19.18,51.69,810.65,30,3.18,0,0,Clouds,scattered clouds,56.34,32.13,22.64,56.34,808.56,42,1.59,0,0,Clear,clear sky,55.11,29.19,27.57,55.11,811.77,42,2.62,0,0,Clear,clear sky,52.14,39.61,38.43,59.7,879.76,0,2.77,0,0,Clear,clear sky,54.59,38.16,38.16,59.04,879.46,0,2.42,0,0,Clear,clear sky,53.89,34.66,33.93,57.88,877.6,0,1.81,0,0
20,Rain,light rain,34,27.18,27.18,34,975.85,92,4.09,0,0,Snow,light snow,38.12,21.16,21.16,38.46,981.08,62,4.32,0,0.06,Snow,light snow,39.02,29.82,23.77,39.02,984.95,76,5.88,0.34,0.61,Snow,light snow,41.47,34.07,26.78,43.95,980.59,76,3.38,0.81,1.02,Snow,light snow,59.02,32.29,32.29,59.02,957.58,0,9.22,22.72,0.44,Snow,snow,30.88,26.28,26.28,30.88,978.56,0,12.41,0,1.6,Snow,light snow,33.73,33.49,22.14,33.73,992.5,0,5.06,0.69,0.48
21,Clear,clear sky,63.52,29.97,29.97,63.52,887.03,20,3.15,0,0,Clear,clear sky,70.63,33.66,29.71,70.63,886.12,23,2.39,0,0,Clouds,few clouds,62.82,36.05,32.81,62.82,887.35,23,2.82,0,0,Clear,clear sky,56.34,35.71,30.79,61.86,940.04,0,3.42,0,0,Clear,clear sky,57.27,38.86,29.61,67.68,938.33,0,3.2,0,0,Clouds,scattered clouds,63.68,43.11,35.28,71.28,937.21,0,2.68,0,0,Clear,clear sky,65.46,42.94,38.3,72.73,935.15,0,1.16,0,0
22,Clouds,few clouds,33.49,21.92,21.92,33.49,811.46,84,1.19,0,0,Clear,clear sky,51.69,22.73,19.18,51.69,810.65,30,3.18,0,0,Clouds,scattered clouds,56.34,32.13,22.64,56.34,808.56,42,1.59,0,0,Clear,clear sky,55.11,29.19,27.57,55.11,811.77,42,2.62,0,0,Clear,clear sky,52.14,39.61,38.43,59.7,879.76,0,2.77,0,0,Clear,clear sky,54.59,38.16,38.16,59.04,879.46,0,2.42,0,0,Clear,clear sky,53.89,34.66,33.93,57.88,877.6,0,1.81,0,0
23,Clear,clear sky,25,16.79,16.79,25,753.51,63,2.64,0,0,Snow,snow,30.96,23.36,10.29,31.71,747.31,63,2.98,0,8.75,Snow,light snow,22.46,12.06,12.06,25.92,751.74,61,3.42,0,1.48,Clear,clear sky,26.08,4.73,1.67,29.14,754.83,50,3.15,0,0,Clear,clear sky,28.33,18.46,-0.46,32.97,752.5,0,2.3,0,0,Clear,clear sky,34.21,12.69,12.54,34.21,752.8,0,2.91,0,0,Clear,clear sky,35.26,18.73,5,37.09,751.75,0,2.53,0,0.03
24,Clear,clear sky,19.26,13.86,13.86,19.26,819.57,89,1.97,0,0,Snow,snow,25.57,20.82,17.73,28.44,815.07,91,2.75,0,6.2,Snow,light snow,26.58,14.22,11.32,30.24,822.18,67,1.74,0,0.04,Clear,clear sky,29.1,19.22,7.9,35.17,823.17,70,2.37,0,0,Clear,clear sky,30.22,17.08,10.62,36.36,842.68,0,2.26,0,0.02,Clear,clear sky,34.79,19.08,11.37,40.1,841.97,0,2.86,0,0,Clear,clear sky,37.92,22.06,17.01,43.12,838.08,0,3.22,0,0
25,Rain,moderate rain,55.69,52.03,52.03,55.69,924.87,97,2.98,3.52,0,Rain,light rain,55.44,43.16,43.16,55.44,925.15,69,2.64,2.19,0,Rain,light rain,46.8,40.14,40.14,48.09,924.88,91,2.75,2.85,0,Rain,heavy intensity rain,47.79,53.4,39.34,53.67,945.72,0,4.72,14.6,0,Snow,light snow,38.05,28.27,28.27,44.82,937.32,0,11.41,4.09,1.03,Snow,light snow,40.06,26.76,26.76,40.06,952.41,0,7.81,0,0.05,Clear,clear sky,43.18,36.07,20.16,43.18,954.4,0,4.23,4.45,0.02
26,Clouds,broken clouds,34.72,28.67,28.67,34.72,1003.98,80,4.09,0,0,Clear,clear sky,42.08,22.73,21.81,42.08,1008.89,51,3.76,0,0.01,Snow,light snow,39.38,28.56,24.89,41.49,1015.83,63,3.42,0,0.76,Snow,light snow,38.86,34.16,30.15,42.15,1009.85,74,4.16,0,1.02,Snow,light snow,59.97,35.89,35.89,59.97,962.85,0,7.78,33.84,0.07,Snow,snow,31.64,25.29,25.29,31.64,977.14,0,12.3,0,2.27,Snow,light snow,33.24,30.76,22.82,33.24,996.75,0,3.67,0,0.22
27,Rain,light rain,32.74,26.82,26.82,32.74,978.04,75,3.98,0,0,Snow,light snow,32.27,14.09,14.09,32.27,983.11,54,4.32,0,0.1,Snow,light snow,28.94,25.02,13.64,32.04,991.51,62,4.32,0,0.17,Snow,light snow,37.96,27.32,23.4,40.84,985.05,69,2.93,0,0.11,Rain,heavy intensity rain,58.98,38.08,38.08,58.98,957.17,0,8.1,31.49,0,Snow,snow,28,20.91,20.91,30.99,965.99,0,12.46,0.23,4.05,Snow,light snow,29.14,27.28,20.48,29.14,988.65,0,3.78,0,0.22
28,Rain,light rain,34,27.18,27.18,34,975.85,92,4.09,0,0,Snow,light snow,38.12,21.16,21.16,38.46,981.08,62,4.32,0,0.06,Snow,light snow,39.02,29.82,23.77,39.02,984.95,76,5.88,0.34,0.61,Snow,light snow,41.47,34.07,26.78,43.95,980.59,76,3.38,0.81,1.02,Snow,light snow,59.02,32.29,32.29,59.02,957.58,0,9.22,22.72,0.44,Snow,snow,30.88,26.28,26.28,30.88,978.56,0,12.41,0,1.6,Snow,light snow,33.73,33.49,22.14,33.73,992.5,0,5.06,0.69,0.48
29,Clear,clear sky,12.34,5.36,5.36,12.34,977.23,82,3.53,0,0,Snow,light snow,26.42,21.11,5.07,28.02,975.9,71,5.1,0,0.21,Snow,snow,32.54,24.96,21.97,34.95,973.92,82,5.1,0,1.58,Clear,clear sky,30.22,17.11,13.59,34.27,976.94,72,3.83,0,0,Snow,snow,25.18,19.06,19.06,25.18,965.89,0,16.87,0,1.59,Snow,light snow,19.4,8.31,8.31,19.4,974.5,0,12.08,0,1.41,Snow,snow,11.46,-2.28,-2.28,11.46,968.38,0,13.56,0,1.72
30,Clear,clear sky,17.89,14.9,14.9,17.89,774.1,73,2.08,0,0.02,Snow,snow,26.69,16.57,16.57,26.98,770.57,60,2.75,0,1.6,Clear,clear sky,21.38,7.47,7.29,26.49,777.76,54,2.08,0,0,Clear,clear sky,21.09,12.29,0.9,29.73,777.69,54,2.71,0,0,Snow,light snow,27.7,20.71,16.7,35.82,794.45,0,2.46,0,0.2,Clear,clear sky,30.43,19.08,10.44,37.53,795.56,0,1.28,0,0,Clear,clear sky,32.07,21.49,13.68,38.98,793.09,0,1.74,0,0
31,Clear,clear sky,29.86,29.86,29.86,29.86,1003.01,72,4.99,0,0.02,Clear,clear sky,19.4,12,12,24.62,1009.26,45,5.61,0,0,Clear,clear sky,12.69,15.57,3.61,24.3,1022.66,49,3.15,0,0.02,Snow,light snow,31.98,18.16,16.79,36.43,1015.27,72,2.91,0,0.1,Snow,snow,49.71,47.68,34.79,54.12,966.9,0,7.25,25.49,1.77,Snow,snow,32.36,18.54,18.54,39.9,959.91,0,13.69,5.65,2.88,Snow,light snow,22.26,15.28,13.87,22.26,992.3,0,8.77,0,0.16
32,Clear,clear sky,33.31,29.43,29.43,33.31,1003.09,85,8.23,0,0,Snow,light snow,32.81,30.83,25.72,34.86,1005.4,89,9.24,0,0.47,Clouds,few clouds,37.98,25.11,21.97,40.08,1005.46,93,6.22,0,0,Clouds,few clouds,43.18,33.44,22.91,44.98,1001.91,74,12.1,0,0,Snow,snow,31.93,27.73,27.73,32.09,984.53,0,21.81,0.26,3.2,Snow,snow,28.58,20.01,20.01,28.58,998.01,0,19.57,0,2.72,Snow,snow,27.52,15.1,15.1,27.52,997.36,0,10.22,0,3.02
33,Clear,clear sky,12.34,5.36,5.36,12.34,977.23,82,3.53,0,0,Snow,light snow,26.42,21.11,5.07,28.02,975.9,71,5.1,0,0.21,Snow,snow,32.54,24.96,21.97,34.95,973.92,82,5.1,0,1.58,Clear,clear sky,30.22,17.11,13.59,34.27,976.94,72,3.83,0,0,Snow,snow,25.18,19.06,19.06,25.18,965.89,0,16.87,0,1.59,Snow,light snow,19.4,8.31,8.31,19.4,974.5,0,12.08,0,1.41,Snow,snow,11.46,-2.28,-2.28,11.46,968.38,0,13.56,0,1.72
34,Clouds,scattered clouds,28.96,28.96,28.96,28.96,981.69,64,5.55,0,0,Clear,clear sky,22.06,11.46,11.46,26.01,986.72,43,5.39,0,0,Snow,light snow,14.18,20.12,2.57,25.38,998.83,44,2.82,0,0.23,Clear,clear sky,30.63,18.1,16.65,38.28,992.49,71,2.68,0,0.01,Clear,clear sky,53.98,48.79,39.65,54.36,965.89,0,8.01,31.1,0.02,Snow,snow,31.19,20.88,20.88,34.29,965.38,0,12.68,2.19,2.62,Snow,light snow,26.89,20.86,17.89,26.89,993.92,0,6.96,0,0.11
35,Snow,light snow,29.44,30.65,29.44,30.65,884.9,69,2.53,0,0.09,Snow,snow,31.19,28.36,28.36,32.41,886.49,74,4.09,0,2.09,Snow,light snow,30.47,21.96,21.96,33.48,892.62,80,2.19,0,0.04,Clouds,scattered clouds,30.9,24.89,16.86,37.15,889.56,71,1.92,0,0,Snow,light snow,37.2,22.03,22.03,41.4,872.47,0,2.15,0,0.03,Clear,clear sky,35.6,26.04,17.46,41.81,873.99,0,1.05,0,0,Clear,clear sky,37.92,32.47,23.49,43.45,870.71,0,1.45,0,0
36,Clouds,overcast clouds,34.27,32.04,32.04,34.27,1009.57,84,3.53,0,0,Clear,clear sky,42.35,24.08,24.08,42.35,1014.31,65,3.53,0,0.01,Snow,light snow,40.64,29.79,25.52,40.64,1022.56,61,4.43,0,0.34,Snow,light snow,36.16,33.98,32,38.59,1015.44,94,5.95,0.58,1.02,Rain,heavy intensity rain,59.47,40.48,40.48,59.47,971.56,0,11.03,37.5,0,Snow,snow,32.86,25.56,25.56,33.12,982.81,0,12.84,0.44,1.51,Snow,light snow,34.09,30.67,24.53,34.09,1004.45,0,4.09,0,0.12
37,Rain,light rain,41.83,41.83,41.83,41.83,1025.3,78,6.11,0,0,Snow,light snow,38.17,34.23,34.23,40.01,1030.66,84,8.3,0.8,0.2,Clouds,scattered clouds,38.03,36.45,30.06,39.38,1042.04,84,8.19,0,0,Rain,moderate rain,39.99,39.22,37.89,40.44,1032.78,96,11.41,7.79,0,Clear,clear sky,56.95,48.94,48.94,56.95,998.11,0,18.3,45.64,0,Snow,light snow,36.95,30.33,30.33,37.47,1003.08,0,19.93,0.73,0.06,Snow,light snow,36.88,35.08,30.47,36.88,1027.96,0,8.79,0,0.05
38,Rain,light rain,33.94,30.06,30.06,33.94,985.74,88,3.65,0,0,Clear,clear sky,44.78,27.23,24.51,46.11,990.89,60,3.2,0,0,Clear,clear sky,39.2,35.22,27.73,39.42,992.57,95,3.76,2.68,0.02,Clear,clear sky,37.11,35.65,33.17,38.05,989.1,100,3.15,17.59,0.01,Snow,light snow,56.91,32.38,32.38,56.91,957.78,0,9.73,6.7,0.51,Snow,light snow,32.68,28.38,28.38,32.68,982,0,13.27,0,1.2,Snow,light snow,37.69,35.35,23.67,37.69,991.08,0,5.28,2.04,0.16
39,Rain,light rain,34,27.18,27.18,34,975.85,92,4.09,0,0,Snow,light snow,38.12,21.16,21.16,38.46,981.08,62,4.32,0,0.06,Snow,light snow,39.02,29.82,23.77,39.02,984.95,76,5.88,0.34,0.61,Snow,light snow,41.47,34.07,26.78,43.95,980.59,76,3.38,0.81,1.02,Snow,light snow,59.02,32.29,32.29,59.02,957.58,0,9.22,22.72,0.44,Snow,snow,30.88,26.28,26.28,30.88,978.56,0,12.41,0,1.6,Snow,light snow,33.73,33.49,22.14,33.73,992.5,0,5.06,0.69,0.48
40,Rain,light rain,39.2,33.76,33.24,39.2,961.77,70,3.6,0.76,0,Clear,clear sky,44.22,27.14,27.14,44.22,966.69,75,9.66,0,0,Clear,clear sky,48.18,28.58,23.9,48.27,965.49,72,2.93,0,0,Clear,clear sky,36.54,28.56,22.78,44.31,936.4,0,3.22,0,0,Clear,clear sky,39.22,27.79,22.1,46.89,935.29,0,3.33,0,0,Clear,clear sky,40.15,33.93,23.76,49.91,933.77,0,2.75,0,0,Rain,light rain,40.89,34.81,34.02,48.16,931.91,0,3,1.5,0
41,Snow,light snow,30.4,27.72,27.72,30.4,830.35,79,1.97,0,0.52,Snow,light snow,30.51,20.35,20.35,34.5,829.5,65,2.86,0,0.32,Clear,clear sky,27.68,14.52,8.15,34.29,833.93,52,2.64,0,0,Clouds,few clouds,32.38,21.52,16.16,40.8,833.3,49,2.59,0,0,Clear,clear sky,36.66,25.54,21.74,44.67,875.3,0,3.22,0,0,Clear,clear sky,40.6,30.69,21.78,47.88,873.79,0,3.09,0,0,Rain,light rain,39.99,30.79,30.79,46.24,870.5,0,2.06,0.25,0
42,Snow,light snow,27.34,22.87,22.87,27.34,993.85,76,4.54,0,0.05,Snow,light snow,26.96,11.62,11.62,26.96,999.57,48,3.65,0,0.11,Snow,light snow,28.76,26.58,9.28,32.79,1005.94,51,3.09,0,0.28,Snow,snow,32.97,29.28,26.38,32.97,998.61,0,4.97,0.33,2.06,Rain,heavy intensity rain,54.88,39.07,39.07,54.88,958.19,0,6.17,25.88,0,Snow,snow,26.06,18.09,18.09,32.13,965.59,0,11.59,1.01,7.09,Snow,light snow,25.81,26.56,16.29,26.56,990.07,0,3.47,0,0.15
43,Clear,clear sky,35.8,25.7,25.7,35.8,816,77,2.75,0,0,Clear,clear sky,49.71,22.91,22.91,49.71,815.67,34,4.18,0,0,Clouds,scattered clouds,47.01,27.86,19.53,48.51,814.07,41,3.6,0,0,Clear,clear sky,56.46,31.26,27.48,56.46,816.07,36,3.96,0,0,Clear,clear sky,44.49,32.83,26.15,54.39,840.45,0,2.48,0,0,Rain,light rain,46.81,30.99,30.27,54.27,839.74,0,1.77,0,0,Clear,clear sky,46.69,29.23,23.72,51.67,837.47,0,0.43,0,0
44,Clear,clear sky,27.79,26.42,26.42,27.79,999.85,84,5.77,0,0,Clear,clear sky,35.78,23.5,22.08,36.52,1003.13,83,4.88,0,0,Clear,clear sky,41.58,25.74,22.96,42.03,1001.49,75,5.21,0,0,Rain,moderate rain,43.59,38.03,32.04,44.08,998.91,73,6.96,3.46,0,Snow,snow,34.68,28.33,28.33,41.81,970.75,0,21.88,2.17,3.82,Snow,snow,29.35,18.84,18.84,29.35,990.71,0,19.73,0,4.43,Snow,snow,30.99,26.29,11.93,32.32,993.71,0,12.66,1.48,2.64
45,Clouds,overcast clouds,34.27,32.04,32.04,34.27,1009.57,84,3.53,0,0,Clear,clear sky,42.35,24.08,24.08,42.35,1014.31,65,3.53,0,0.01,Snow,light snow,40.64,29.79,25.52,40.64,1022.56,61,4.43,0,0.34,Snow,light snow,36.16,33.98,32,38.59,1015.44,94,5.95,0.58,1.02,Rain,heavy intensity rain,59.47,40.48,40.48,59.47,971.56,0,11.03,37.5,0,Snow,snow,32.86,25.56,25.56,33.12,982.81,0,12.84,0.44,1.51,Snow,light snow,34.09,30.67,24.53,34.09,1004.45,0,4.09,0,0.12
46,Clear,clear sky,9.88,4.82,4.82,9.88,1011.2,75,4.21,0,0,Snow,light snow,26.19,16.12,10.42,26.35,1012.29,57,3.53,0,0.08,Snow,light snow,31.01,29.1,19.67,35.04,1009.02,77,7.9,0,1.22,Clear,clear sky,35.76,11.84,11.84,37.24,1010.42,66,3.38,0,0.01,Snow,snow,27.52,18.01,18.01,27.52,983.32,0,17.31,0,1.78,Snow,light snow,17.2,14.31,14.31,18.72,996.59,0,15.88,0,1.45,Snow,snow,19.74,6.28,6.28,19.74,992.09,0,13.2,0,1.84
