ID,1-wthr,1-dscr,1-avg_day,1-avg_night,1-t_min,1-t_max,1-pres,1-humd,1-w_spd,1-rain,1-snow,2-wthr,2-dscr,2-avg_day,2-avg_night,2-t_min,2-t_max,2-pres,2-humd,2-w_spd,2-rain,2-snow,3-wthr,3-dscr,3-avg_day,3-avg_night,3-t_min,3-t_max,3-pres,3-humd,3-w_spd,3-rain,3-snow,4-wthr,4-dscr,4-avg_day,4-avg_night,4-t_min,4-t_max,4-pres,4-humd,4-w_spd,4-rain,4-snow,5-wthr,5-dscr,5-avg_day,5-avg_night,5-t_min,5-t_max,5-pres,5-humd,5-w_spd,5-rain,5-snow,6-wthr,6-dscr,6-avg_day,6-avg_night,6-t_min,6-t_max,6-pres,6-humd,6-w_spd,6-rain,6-snow,7-wthr,7-dscr,7-avg_day,7-avg_night,7-t_min,7-t_max,7-pres,7-humd,7-w_spd,7-rain,7-snow
1,Rain,light rain,34.18,23.63,23.63,34.18,945.46,86,2.19,0,0,Clear,clear sky,43.27,19.98,18.73,43.27,948.94,59,3.96,0,0,Clear,clear sky,43.2,20.48,16.79,43.2,951.07,66,2.93,0,0,Clouds,scattered clouds,43.68,26.67,20.25,44.11,949.17,60,3.4,0,0,Clear,clear sky,33.15,24.58,20.75,43.92,946.03,0,3.58,0,0,Rain,light rain,34.48,32.34,20.52,44.46,944.92,0,3.87,0.28,0,Rain,light rain,38.86,31.78,31.78,43.21,941.63,0,2.26,2.58,0
2,Clear,clear sky,28.09,26.24,26.24,28.09,1003.33,83,7.56,0,0.03,Snow,light snow,32.45,22.46,16.99,35.62,1001.11,82,5.55,0,0.1,Snow,snow,35.91,23.49,21.65,38.43,1000.27,89,5.99,0,1.63,Clear,clear sky,31.44,21.47,14,36.25,1004.42,86,4.38,0,0,Snow,light snow,25.27,23.41,23.41,25.27,988.79,0,21.52,0,0.91,Snow,light snow,19.36,8.73,8.73,19.67,997.2,0,13.71,0,0.14,Snow,light snow,11.14,-1.74,-1.74,11.14,992.09,0,22.44,0,0.09
3,Snow,light snow,38.44,36.95,36.95,38.44,969.94,100,3.42,2.95,0.13,Snow,snow,37.92,27,27,39.61,973.66,100,1.83,4.99,2.38,Clouds,few clouds,48.15,33.93,28.4,48.15,965.74,51,6.17,0,0,Clouds,scattered clouds,48.49,39.76,29.91,49.84,968.14,67,2.62,0,0,Clear,clear sky,38.37,32.74,27.68,50.97,958.59,0,2.64,0,0,Rain,light rain,40.51,40.53,30.96,47.97,956.06,0,2.48,2.25,0,Rain,light rain,43.63,34.21,34.21,49.69,958.25,0,1.19,0,0
4,Rain,light rain,40.23,34.97,34.97,40.23,1005.12,97,3.87,1.69,0,Clear,clear sky,45.09,26.78,26.78,45.3,1010.35,55,3.42,0,0,Snow,light snow,40.73,33.06,30.34,40.73,1015.1,83,7,1.12,0.22,Snow,light snow,36.39,44.89,31.48,44.89,1004.49,0,6.17,18.74,0.18,Snow,light snow,60.96,34.03,34.03,60.96,966.09,0,9.57,28.84,0.13,Snow,light snow,33.31,27.81,27.81,33.31,984.84,0,12.71,0,0.86,Snow,light snow,35.49,33.46,24.8,35.49,1001.21,0,5.01,0,0.23
5,Clear,clear sky,31.75,29.34,29.34,31.75,1009.33,96,13.04,0,0,Clear,clear sky,29.21,28.13,25.86,29.82,1014.15,100,11.25,0,0,Clear,clear sky,32.76,31.8,28.54,33.03,1012.51,95,11.81,0,0.01,Rain,light rain,34.72,34.88,31.1,35.47,1010.17,90,13.33,1.55,0,Snow,snow,34.18,28.27,28.27,42.21,972.37,0,21.32,6.65,3.58,Snow,snow,27.46,23.49,23.49,27.77,995.38,0,20.33,0,3.63,Snow,snow,28.56,28.99,21.2,30.85,1000.4,0,15.01,0,4.07
6,Clear,clear sky,33.94,33.71,33.71,33.94,1013.46,98,11.25,0,0.02,Snow,light snow,31.77,33.94,31.33,33.94,1014.31,100,12.82,0,0.09,Clear,clear sky,36.14,34.95,34.25,36.14,1013.81,94,5.21,0,0.02,Snow,light snow,36.07,34.79,34.79,36.07,1012.77,94,12.1,0,0.05,Snow,light snow,30.18,26.08,26.08,30.18,988.38,0,22.39,0,0.69,Snow,light snow,25.3,17.64,17.64,25.3,1000.24,0,22.48,0,0.64,Snow,light snow,24.91,9.16,9.16,24.91,996.55,0,16.02,0,0.82
7,Snow,light snow,30.31,27.41,27.41,30.31,1009.17,74,10.25,0,0.09,Clear,clear sky,30.87,21.7,18.21,33.24,1012.29,78,5.32,0,0.01,Clear,clear sky,37.31,19.8,15.76,40.26,1011.62,75,4.43,0,0,Clear,clear sky,43.41,28.13,17.64,44.62,1008.88,74,7.4,0,0.01,Snow,snow,33.06,24.76,24.76,33.3,976.83,0,23.02,0.81,5.96,Snow,snow,27.95,9.48,9.48,27.95,993.75,0,16.17,0,1.65,Snow,snow,27.39,15.73,15.73,27.39,994.73,0,20.76,0,2.69
8,Clear,clear sky,40.39,28.36,28.36,40.39,872.76,84,2.37,0,0,Snow,snow,30.65,30.16,29.17,32.81,868.9,100,3.98,0,7.48,Clear,clear sky,29.21,19.47,19.47,31.35,875.27,100,3.76,0,0,Clear,clear sky,29.61,20.01,13.66,34.77,850.07,0,3.11,0,0.02,Clear,clear sky,33.06,21.04,14.4,37.29,848.15,0,0.65,0,0.02,Clear,clear sky,38.3,23.07,16.83,40.86,847.24,0,2.71,0,0,Rain,light rain,39.81,26.83,21.15,42.67,842.94,0,2.62,0.23,0
9,Snow,snow,29.32,25.38,25.38,29.32,903.71,87,3.98,0,2.91,Snow,snow,29.28,26.91,26.91,29.53,917.89,86,2.39,0,7.8,Snow,snow,26.04,28.67,21.96,28.67,919.78,77,2.59,0,3.79,Snow,snow,32.11,31.98,30.45,32.74,906.13,83,4.85,0,4.4,Snow,light snow,36.3,35.82,35.67,36.34,929.52,0,7.45,45.8,1.17,Snow,snow,36.27,29.88,29.88,36.27,930.23,0,7.7,21.68,2.34,Snow,snow,36.28,33.71,33.71,36.28,935.5,0,4.5,25.6,1.73
10,Snow,light snow,21.97,12.24,12.24,21.97,989.15,86,4.43,0,0.04,Snow,light snow,26.69,30.07,14.65,30.7,984.81,90,8.79,0,0.96,Snow,snow,34.07,10.56,10.56,34.29,986.08,100,8.46,0,2.75,Clear,clear sky,28.47,22.06,5,32.74,988.45,96,9.31,0,0.02,Snow,light snow,22.89,22.24,22.24,25.83,980.48,0,20.42,0,0.35,Clear,clear sky,11.39,5.76,5.34,12.87,987.47,0,12.37,0,0.02,Snow,light snow,2.46,-6.33,-6.33,3.38,984.6,0,23.58,0,0.06
