city,state,area,time,number,lat,lon,score
Merced,California,7120,15.97929622,7,37.3021632,-120.4829677,3119.035989
Manteca,California,7170,14.12019149,6,37.7974273,-121.2160526,3046.700891
Springfield,Massachusetts,6255,74.36159152,36,42.1014831,-72.589811,3028.176178
Vancouver,Washington,5927,8.084415993,4,45.6387281,-122.6614861,2932.555675
Henderson,Nevada,2535,1.73585855,2,36.0395247,-114.9817213,2920.744896
Lowell,Massachusetts,6192,68.57917151,32,42.6334247,-71.3161718,2889.273749
Lawrence,Massachusetts,6159,64.73589308,30,42.7070354,-71.1631137,2854.212574
Eugene,Oregon,5044,5.337217813,3,44.0520691,-123.0867536,2835.185022
Portland,Oregon,4525,4.797105865,3,45.5230622,-122.6764816,2829.831232
Meridian,Idaho,6242,8.84072129,4,43.6121087,-116.3915131,2824.203951
Worcester,Massachusetts,5811,68.87818918,33,42.2625932,-71.8022934,2784.088872
Concrete,Washington,4944,7.601281148,4,48.5392813,-121.7462513,2601.666695
Nampa,Idaho,6242,9.769511343,4,43.5407172,-116.5634624,2555.706127
Salem,Oregon,5886,11.76578429,5,44.9428975,-123.0350963,2501.320718
Beaverton,Oregon,5080,8.559163096,4,45.487062,-122.8037102,2374.063886
Hartford,Connecticut,5138,73.53300164,33,41.7637111,-72.6850932,2305.821824
Bellingham,Washington,4944,8.602251198,4,48.74908,-122.4781473,2298.933099
Woburn,Massachusetts,4856,53.61117523,25,42.4792618,-71.1522765,2264.45325
Scranton,Pennsylvania,4538,58.60697703,29,41.408969,-75.6624122,2245.500565
Hillsboro,Oregon,4525,6.225678078,3,45.5228939,-122.989827,2180.485375
Medford,Oregon,4145,5.914953288,3,42.3265152,-122.8755949,2102.298935
Tracy,California,5170,12.90513064,5,37.7396513,-121.4252227,2003.079296
Duluth,Minnesota,4764,24.95341395,10,46.7866719,-92.1004852,1909.157604
Paterson,New Jersey,3928,57.90658764,28,40.9167654,-74.171811,1899.334851
Waterbury,Connecticut,3964,60.56139913,29,41.5581525,-73.0514965,1898.172791
Newton,Massachusetts,4062,51.54181394,24,42.3370413,-71.2092214,1891.435177
Danbury,Connecticut,3863,60.10135833,29,41.394817,-73.4540111,1863.967855
Yonkers,New York,4146,65.34406798,29,40.9312099,-73.8987469,1840.014001
Clifton,New Jersey,3818,56.57538384,27,40.8584328,-74.1637553,1822.099878
Bethlehem,Pennsylvania,2947,32.43599747,20,40.6259316,-75.3704579,1817.116926
Hackensack,New Jersey,3818,57.66169732,27,40.8859325,-74.0434736,1787.772556
Allentown,Pennsylvania,2947,33.35746089,20,40.6084305,-75.4901833,1766.921055
Stamford,Connecticut,3933,58.50033558,26,41.0534302,-73.5387341,1747.989973
New Rochelle,New York,3896,61.59870745,27,40.9114882,-73.7823549,1707.69817
Redding,California,3925,4.625325544,2,40.5865396,-122.3916754,1697.177837
Newark,New Jersey,3293,53.69165227,25,40.735657,-74.1723667,1533.292356
Norwalk,Connecticut,3445,58.78084112,26,41.117744,-73.4081575,1523.79582
Omaha,Nebraska,730,0.967878559,2,41.2523634,-95.9979883,1508.453707
Jersey City,New Jersey,3293,55.1928286,25,40.7281575,-74.0776417,1491.58871
Elizabeth,New Jersey,3052,48.84147164,23,40.6639916,-74.2107006,1437.221231
New York,New York,3122,50.08595519,23,40.7127837,-74.0059413,1433.655398
Rochester,New York,2808,25.6434176,13,43.16103,-77.6109219,1423.523205
New Haven,Connecticut,2990,52.80939966,24,41.308274,-72.9278835,1358.849002
Somerville,Massachusetts,2411,30.36172704,17,42.3875968,-71.0994968,1349.956145
Cambridge,Massachusetts,2411,30.40494484,17,42.3736158,-71.1097335,1348.037308
Clovis,California,3140,11.67249187,5,36.8252277,-119.7029194,1345.042701
Bridgeport,Connecticut,2984,53.29698308,24,41.1865478,-73.1951767,1343.715833
Boston,Massachusetts,2411,31.47103947,17,42.3600825,-71.0588801,1302.37198
